PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,GIR_PERCENTAGE,TOTAL_DRIVING_DISTANCE,FIR_PERCENTAGE,SCRAMBLING_PERCENTAGE,PUTTS_PER_ROUND,R1_PUTTS,R2_PUTTS
33204,Shane Lowry,2019 The Open Championship,79.17,301.1,62.5,73.33,29.25,31,27
25198,Francesco Molinari,2019 The Open Championship,77.78,283.3,50.0,62.5,31.0,31,30
29725,Tony Finau,2019 The Open Championship,75.0,301.4,53.57,72.22,30.0,28,32
20396,Lee Westwood,2019 The Open Championship,75.0,298.8,71.43,55.56,30.0,29,28
32102,Rickie Fowler,2019 The Open Championship,73.61,283.9,66.07,42.11,29.0,29,31
34363,Tyrrell Hatton,2019 The Open Championship,73.61,306.3,69.64,63.16,29.75,31,29
26329,Louis Oosthuizen,2019 The Open Championship,73.61,296.6,55.36,42.11,31.5,29,35
23621,Rory Sabbatini,2019 The Open Championship,73.61,290.3,62.5,63.16,30.75,32,32
35104,Tom Lewis,2019 The Open Championship,72.22,294.1,66.07,55.0,30.75,32,31
48081,Xander Schauffele,2019 The Open Championship,72.22,294.9,55.36,40.0,30.75,30,30
35450,Patrick Cantlay,2019 The Open Championship,70.83,297.9,46.43,47.62,32.0,33,31
29136,Innchoon Hwang,2019 The Open Championship,70.83,283.5,58.93,33.33,30.75,28,31
25364,Paul Casey,2019 The Open Championship,69.44,289.1,55.36,50.0,31.75,29,34
30911,Tommy Fleetwood,2019 The Open Championship,69.44,289.1,64.29,77.27,28.75,28,28
29936,Ryan Fox,2019 The Open Championship,69.44,315.8,62.5,45.45,29.25,30,31
36514,Yuki Inamori,2019 The Open Championship,69.44,279.4,64.29,31.82,32.0,31,36
29478,Kevin Kisner,2019 The Open Championship,69.44,275.8,60.71,40.91,30.5,29,32
23108,Matt Kuchar,2019 The Open Championship,69.44,278.9,58.93,45.45,30.5,30,31
25572,Graeme McDowell,2019 The Open Championship,69.44,274.9,42.86,50.0,30.25,33,28
46970,Jon Rahm,2019 The Open Championship,69.44,301.3,55.36,50.0,29.25,28,32
32139,Danny Willett,2019 The Open Championship,69.44,290.1,51.79,54.55,28.25,30,30
52215,Robert MacIntyre,2019 The Open Championship,68.06,299.1,46.43,56.52,28.5,27,31
46035,Callum Shinkwin,2019 The Open Championship,68.06,308.0,53.57,52.17,29.75,29,33
35891,Cameron Smith,2019 The Open Championship,68.06,293.6,60.71,52.17,30.0,30,28
33948,Byeong Hun An,2019 The Open Championship,66.67,303.5,48.21,54.17,29.5,30,28
33399,Adam Hadwin,2019 The Open Championship,66.67,291.0,75.0,45.83,30.5,32,33
30944,Jason Kokrak,2019 The Open Championship,66.67,298.6,51.79,54.17,31.25,33,31
28300,Joost Luiten,2019 The Open Championship,66.67,295.9,66.07,41.67,30.0,32,26
27349,Alex Noren,2019 The Open Championship,66.67,295.0,62.5,58.33,29.5,27,34
39113,Shubhankar Sharma,2019 The Open Championship,66.67,289.3,62.5,45.83,30.0,29,33
33448,Justin Thomas,2019 The Open Championship,66.67,288.4,41.07,62.5,28.5,28,28
50674,Ashton Turner,2019 The Open Championship,66.67,272.9,53.57,50.0,31.0,27,33
25804,Bubba Watson,2019 The Open Championship,66.67,304.5,57.14,45.83,30.75,30,33
20229,Stewart Cink,2019 The Open Championship,65.28,289.9,58.93,60.0,29.0,30,26
40098,Matt Fitzpatrick,2019 The Open Championship,65.28,299.4,58.93,64.0,29.25,31,31
36689,Brooks Koepka,2019 The Open Championship,65.28,299.3,64.29,60.0,29.0,29,29
33293,Thomas Pieters,2019 The Open Championship,65.28,297.9,50.0,36.0,30.0,29,29
34360,Patrick Reed,2019 The Open Championship,65.28,283.6,55.36,68.0,28.75,29,28
31395,Yosuke Asaji,2019 The Open Championship,63.89,276.3,71.43,53.85,29.75,30,32
33803,Lucas Bjerregaard,2019 The Open Championship,63.89,304.0,53.57,69.23,29.0,28,30
25900,Lucas Glover,2019 The Open Championship,63.89,296.6,73.21,50.0,29.5,27,31
29974,Branden Grace,2019 The Open Championship,63.89,284.6,57.14,46.15,30.5,30,31
30812,Benjamin Hebert,2019 The Open Championship,63.89,286.0,64.29,57.69,29.75,31,30
12716,Charley Hoffman,2019 The Open Championship,63.89,299.0,60.71,65.38,29.75,29,29
27141,J.B. Holmes,2019 The Open Championship,63.89,305.0,69.64,42.31,29.75,29,31
30925,Dustin Johnson,2019 The Open Championship,63.89,308.6,53.57,38.46,30.75,30,31
29370,Mikko Korhonen,2019 The Open Championship,63.89,292.0,69.64,38.46,30.5,29,28
29221,Webb Simpson,2019 The Open Championship,63.89,283.3,60.71,53.85,29.25,28,27
34046,Jordan Spieth,2019 The Open Championship,63.89,294.9,39.29,50.0,29.0,29,27
48887,Matt Wallace,2019 The Open Championship,63.89,282.5,60.71,53.85,30.25,28,28
10809,Jim Furyk,2019 The Open Championship,62.5,269.1,64.29,59.26,29.5,30,30
33968,Thorbjørn Olesen,2019 The Open Championship,62.5,291.3,55.36,55.56,30.25,33,26
34256,Andrew Putnam,2019 The Open Championship,62.5,288.5,62.5,59.26,29.5,30,29
53165,Doc Redman,2019 The Open Championship,62.5,290.6,55.36,51.85,28.75,30,30
27214,Kevin Streelman,2019 The Open Championship,62.5,289.4,71.43,40.74,29.25,30,29
40006,Erik van Rooyen,2019 The Open Championship,62.5,293.5,58.93,74.07,29.5,29,32
49964,Aaron Wise,2019 The Open Championship,62.5,286.6,58.93,51.85,29.5,30,28
30978,Kiradech Aphibarnrat,2019 The Open Championship,61.11,293.8,51.79,53.57,28.5,30,27
29970,Dylan Frittelli,2019 The Open Championship,61.11,293.8,66.07,60.71,29.5,28,28
21209,Sergio Garcia,2019 The Open Championship,61.11,298.0,55.36,50.0,30.25,29,31
33122,Russell Knox,2019 The Open Championship,61.11,291.8,67.86,50.0,29.5,27,30
37250,Romain Langasque,2019 The Open Championship,61.11,301.9,46.43,60.71,29.5,29,29
21528,Henrik Stenson,2019 The Open Championship,61.11,263.5,71.43,53.57,28.25,27,32
55940,Andrew Wilson,2019 The Open Championship,61.11,290.4,48.21,46.43,29.0,34,24
32797,Sanghyun Park,2019 The Open Championship,59.72,290.1,62.5,68.97,28.0,32,24
22405,Justin Rose,2019 The Open Championship,59.72,298.4,58.93,62.07,28.5,25,30
31113,Paul Waring,2019 The Open Championship,59.72,283.8,78.57,51.72,29.5,32,28
32252,Nino Bertasio,2019 The Open Championship,58.33,280.3,53.57,46.67,29.75,32,26
28938,Justin Harding,2019 The Open Championship,58.33,290.8,55.36,50.0,28.0,27,29
30110,Kyle Stanley,2019 The Open Championship,58.33,285.5,64.29,66.67,28.0,27,26
29454,Bernd Wiesberger,2019 The Open Championship,58.33,281.3,57.14,66.67,28.0,27,26
