RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,39113,Shubhankar Sharma,87.50%,21,24
2,25,30911,Tommy Fleetwood,79.17%,19,24
3,0,21528,Henrik Stenson,77.78%,21,27
4,2,27644,Brian Harman,75.00%,18,24
5,19,33948,Byeong Hun An,74.19%,23,31
5,0,20229,Stewart Cink,74.19%,23,31
7,0,32839,Hideki Matsuyama,72.22%,13,18
8,0,27506,Oliver Wilson,71.43%,25,35
9,0,46970,Jon Rahm,70.83%,17,24
10,0,40098,Matt Fitzpatrick,70.37%,19,27
11,23,28237,Rory McIlroy,69.57%,16,23
12,36,39997,Corey Conners,69.44%,25,36
13,51,55955,Matthew Jordan,68.00%,17,25
14,50,55182,Tom Kim,67.86%,19,28
15,12,32102,Rickie Fowler,67.74%,21,31
16,0,28089,Jason Day,66.67%,18,27
16,-3,31323,Gary Woodland,66.67%,22,33
18,-13,39834,Guido Migliozzi,65.52%,19,29
19,8,48081,Xander Schauffele,65.22%,15,23
20,42,29531,Richie Ramsay,64.71%,22,34
21,0,26329,Louis Oosthuizen,64.52%,20,31
22,0,35174,Matthew Southgate,64.00%,16,25
23,0,34362,Laurie Canter,63.64%,14,22
24,0,32139,Danny Willett,63.16%,24,38
25,0,35450,Patrick Cantlay,62.96%,17,27
25,45,46646,Antoine Rozner,62.96%,17,27
27,0,24024,Zach Johnson,61.76%,21,34
28,0,39971,Sungjae Im,61.29%,19,31
28,12,37378,Min Woo Lee,61.29%,19,31
30,0,35913,Michael Stewart,61.11%,22,36
31,0,45522,Christiaan Bezuidenhout,60.71%,17,28
32,0,31646,Emiliano Grillo,60.00%,12,20
32,-25,39977,Max Homa,60.00%,15,25
32,0,33674,Adrian Meronk,60.00%,12,20
32,0,34046,Jordan Spieth,60.00%,15,25
36,0,34360,Patrick Reed,59.38%,19,32
36,0,65374,Brandon Robinson Thompson,59.38%,19,32
38,0,27349,Alex Noren,58.82%,20,34
39,0,55721,Alex Fitzpatrick,58.62%,17,29
40,2,51766,Wyndham Clark,58.33%,14,24
40,5,33653,Thomas Detry,58.33%,14,24
42,0,45836,Richard Bland,57.69%,15,26
42,-19,48117,Kurt Kitayama,57.69%,15,26
44,0,55509,Hurly Long,56.67%,17,30
45,4,34363,Tyrrell Hatton,56.52%,13,23
46,0,47056,Rikuya Hoshino,56.25%,18,32
47,-39,49771,J.T. Poston,56.00%,14,25
47,20,23481,Marcel Siem,56.00%,14,25
49,25,34310,Alexander Björk,55.56%,15,27
50,0,34575,Adrian Otaegui,53.85%,14,26
51,21,52453,Nicolai Hojgaard,53.57%,15,28
51,-12,46464,Jordan Smith,53.57%,15,28
53,6,29936,Ryan Fox,53.13%,17,32
53,-44,34409,David Lingmerth,53.13%,17,32
55,0,57366,Cameron Young,52.63%,10,19
56,0,24502,Adam Scott,52.00%,13,25
57,-8,28300,Joost Luiten,51.85%,14,27
58,0,35891,Cameron Smith,51.72%,15,29
59,0,45523,Thriston Lawrence,51.35%,19,37
60,-50,37250,Romain Langasque,50.00%,15,30
60,-57,52215,Robert MacIntyre,50.00%,16,32
62,0,47959,Bryson DeChambeau,48.57%,17,35
63,0,39412,Zack Fischer,46.67%,14,30
63,-12,20766,Padraig Harrington,46.67%,14,30
63,0,30692,Scott Stallings,46.67%,14,30
66,-32,47679,Victor Perez,45.83%,11,24
67,0,45526,Abraham Ancer,45.00%,9,20
68,0,49960,Sepp Straka,44.44%,8,18
69,-33,52666,Sami Valimaki,44.00%,11,25
70,0,33293,Thomas Pieters,43.33%,13,30
71,0,36689,Brooks Koepka,42.86%,12,28
72,0,54422,Christo Lamprecht,41.18%,14,34
73,-14,46717,Viktor Hovland,40.91%,9,22
74,-29,46046,Scottie Scheffler,38.10%,8,21
75,0,30927,Brendon Todd,37.50%,9,24
76,-61,34256,Andrew Putnam,36.36%,8,22
