RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,54422,Christo Lamprecht,320.4,2563,8
2,0,33674,Adrian Meronk,312.6,2501,8
3,0,46970,Jon Rahm,310.3,2482,8
4,0,24502,Adam Scott,309.8,2478,8
5,15,52215,Robert MacIntyre,306.6,2453,8
6,44,23481,Marcel Siem,306.1,2449,8
7,0,27506,Oliver Wilson,305.9,2447,8
8,0,47959,Bryson DeChambeau,305.4,2443,8
9,-6,33948,Byeong Hun An,304.3,2434,8
10,13,52453,Nicolai Hojgaard,303.8,2430,8
11,0,36689,Brooks Koepka,303.0,2424,8
12,25,33653,Thomas Detry,302.8,2422,8
13,31,46046,Scottie Scheffler,301.8,2414,8
14,-5,46717,Viktor Hovland,301.6,2413,8
15,37,46464,Jordan Smith,300.4,2403,8
16,-15,28237,Rory McIlroy,300.3,2402,8
17,15,31323,Gary Woodland,299.4,2395,8
18,0,57366,Cameron Young,298.6,2389,8
19,-13,51766,Wyndham Clark,298.5,2388,8
20,7,37250,Romain Langasque,297.8,2382,8
21,0,55509,Hurly Long,297.0,2376,8
22,9,28300,Joost Luiten,296.6,2373,8
23,7,48117,Kurt Kitayama,295.5,2364,8
24,0,34362,Laurie Canter,295.3,2362,8
25,10,46646,Antoine Rozner,295.0,2360,8
26,0,39412,Zack Fischer,294.5,2356,8
27,0,33293,Thomas Pieters,293.5,2348,8
28,10,52666,Sami Valimaki,293.4,2347,8
29,0,34360,Patrick Reed,292.9,2343,8
30,12,30911,Tommy Fleetwood,292.6,2341,8
30,0,30692,Scott Stallings,292.6,2341,8
32,0,28089,Jason Day,292.3,2338,8
33,6,20766,Padraig Harrington,291.6,2333,8
33,0,21528,Henrik Stenson,291.6,2333,8
35,0,32139,Danny Willett,291.5,2332,8
36,-34,37378,Min Woo Lee,291.4,2331,8
37,0,26329,Louis Oosthuizen,291.0,2328,8
38,0,45526,Abraham Ancer,290.5,2324,8
39,-14,34363,Tyrrell Hatton,289.9,2319,8
40,0,35450,Patrick Cantlay,289.5,2316,8
41,0,45523,Thriston Lawrence,289.4,2315,8
42,0,39971,Sungjae Im,289.3,2314,8
43,0,20229,Stewart Cink,288.8,2310,8
43,0,35174,Matthew Southgate,288.8,2310,8
45,-42,29936,Ryan Fox,287.6,2301,8
46,19,39997,Corey Conners,286.9,2295,8
47,0,35913,Michael Stewart,286.6,2293,8
48,0,49960,Sepp Straka,286.1,2289,8
49,0,39113,Shubhankar Sharma,285.8,2286,8
50,0,34046,Jordan Spieth,285.6,2285,8
51,21,27644,Brian Harman,285.5,2284,8
52,-7,39834,Guido Migliozzi,284.4,2275,8
53,24,34409,David Lingmerth,284.1,2273,8
54,0,27349,Alex Noren,283.9,2271,8
55,8,29531,Richie Ramsay,283.8,2270,8
56,14,49771,J.T. Poston,283.6,2269,8
57,0,65374,Brandon Robinson Thompson,283.0,2264,8
58,0,45836,Richard Bland,282.6,2261,8
58,-47,32102,Rickie Fowler,282.6,2261,8
60,0,45522,Christiaan Bezuidenhout,282.5,2260,8
61,0,31646,Emiliano Grillo,281.3,2250,8
61,-37,48081,Xander Schauffele,281.3,2250,8
63,8,55182,Tom Kim,280.9,2247,8
64,12,34256,Andrew Putnam,280.8,2246,8
64,0,35891,Cameron Smith,280.8,2246,8
66,-40,47679,Victor Perez,279.9,2239,8
67,0,47056,Rikuya Hoshino,279.1,2233,8
68,7,34310,Alexander Björk,278.8,2230,8
69,0,34575,Adrian Otaegui,278.4,2227,8
70,-43,39977,Max Homa,278.0,2224,8
71,0,32839,Hideki Matsuyama,277.8,2222,8
72,0,24024,Zach Johnson,275.6,2205,8
73,0,30927,Brendon Todd,274.9,2199,8
74,0,40098,Matt Fitzpatrick,274.4,2195,8
75,0,55721,Alex Fitzpatrick,271.4,2171,8
76,-7,55955,Matthew Jordan,269.4,2155,8
