PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,GIR_PERCENTAGE,TOTAL_DRIVING_DISTANCE,FIR_PERCENTAGE,SCRAMBLING_PERCENTAGE,PUTTS_PER_ROUND,R1_PUTTS,R2_PUTTS
32139,Danny Willett,2021 PGA Championship,51.39,310.3,60.71,54.29,28.25,29,28
47989,Sam Horsfield,2021 PGA Championship,50.0,312.1,53.57,55.56,27.25,26,29
35891,Cameron Smith,2021 PGA Championship,50.0,300.8,62.5,58.33,27.5,29,27
29518,Brendan Steele,2021 PGA Championship,50.0,295.6,42.86,58.33,27.75,30,24
20396,Lee Westwood,2021 PGA Championship,50.0,288.0,67.86,52.78,28.25,23,28
33948,Byeong Hun An,2021 PGA Championship,48.61,306.5,55.36,67.57,26.75,31,26
25632,Jimmy Walker,2021 PGA Championship,48.61,293.4,44.64,56.76,27.5,32,27
25804,Bubba Watson,2021 PGA Championship,48.61,298.0,60.71,45.95,29.5,29,29
26300,Matt Jones,2021 PGA Championship,47.22,295.4,57.14,63.16,26.25,28,25
35104,Tom Lewis,2021 PGA Championship,47.22,309.0,64.29,60.53,28.25,29,27
59872,Brad Marek,2021 PGA Championship,47.22,290.9,53.57,55.26,27.25,26,25
47993,Denny McCarthy,2021 PGA Championship,47.22,290.8,62.5,57.89,26.0,26,26
51766,Wyndham Clark,2021 PGA Championship,45.83,317.4,48.21,53.85,26.75,27,25
19846,Brian Gay,2021 PGA Championship,43.06,291.8,58.93,51.22,27.75,31,24
