RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,0,28938,Justin Harding,28.00,112,4,26
1,0,32797,Sanghyun Park,28.00,112,4,24
1,37,30110,Kyle Stanley,28.00,112,4,26
1,0,29454,Bernd Wiesberger,28.00,112,4,26
5,0,06522,Ernie Els,28.25,113,4,27
5,0,21528,Henrik Stenson,28.25,113,4,26
5,0,32139,Danny Willett,28.25,113,4,25
8,0,30978,Kiradech Aphibarnrat,28.50,114,4,27
8,0,52215,Robert MacIntyre,28.50,114,4,27
8,0,22405,Justin Rose,28.50,114,4,25
8,0,33448,Justin Thomas,28.50,114,4,28
12,0,30911,Tommy Fleetwood,28.75,115,4,28
12,0,34709,Eddie Pepperell,28.75,115,4,27
12,40,53165,Doc Redman,28.75,115,4,27
12,0,34360,Patrick Reed,28.75,115,4,25
16,0,33803,Lucas Bjerregaard,29.00,116,4,28
16,-7,20229,Stewart Cink,29.00,116,4,26
16,0,32102,Rickie Fowler,29.00,116,4,28
16,0,36689,Brooks Koepka,29.00,116,4,29
16,0,34046,Jordan Spieth,29.00,116,4,27
16,0,55940,Andrew Wilson,29.00,116,4,24
22,0,40098,Matt Fitzpatrick,29.25,117,4,25
22,0,29936,Ryan Fox,29.25,117,4,27
22,0,33204,Shane Lowry,29.25,117,4,27
22,0,46970,Jon Rahm,29.25,117,4,27
22,0,29221,Webb Simpson,29.25,117,4,27
22,0,27214,Kevin Streelman,29.25,117,4,27
28,0,33948,Byeong Hun An,29.50,118,4,28
28,-24,29970,Dylan Frittelli,29.50,118,4,28
28,0,10809,Jim Furyk,29.50,118,4,25
28,28,25900,Lucas Glover,29.50,118,4,27
28,0,33122,Russell Knox,29.50,118,4,26
28,0,37250,Romain Langasque,29.50,118,4,29
28,0,27349,Alex Noren,29.50,118,4,26
28,0,34256,Andrew Putnam,29.50,118,4,28
28,0,40006,Erik van Rooyen,29.50,118,4,27
28,0,31113,Paul Waring,29.50,118,4,26
28,0,49964,Aaron Wise,29.50,118,4,28
39,0,31395,Yosuke Asaji,29.75,119,4,27
39,0,32252,Nino Bertasio,29.75,119,4,26
39,0,34363,Tyrrell Hatton,29.75,119,4,26
39,0,30812,Benjamin Hebert,29.75,119,4,27
39,0,12716,Charley Hoffman,29.75,119,4,28
39,0,27141,J.B. Holmes,29.75,119,4,29
39,0,46035,Callum Shinkwin,29.75,119,4,28
46,0,29725,Tony Finau,30.00,120,4,28
46,0,28300,Joost Luiten,30.00,120,4,26
46,0,33293,Thomas Pieters,30.00,120,4,29
46,0,39113,Shubhankar Sharma,30.00,120,4,29
46,0,35891,Cameron Smith,30.00,120,4,28
46,0,20396,Lee Westwood,30.00,120,4,28
52,0,21209,Sergio Garcia,30.25,121,4,29
52,0,25572,Graeme McDowell,30.25,121,4,28
52,0,33968,Thorbjørn Olesen,30.25,121,4,26
52,0,48887,Matt Wallace,30.25,121,4,28
56,0,29974,Branden Grace,30.50,122,4,29
56,0,33399,Adam Hadwin,30.50,122,4,27
56,0,29478,Kevin Kisner,30.50,122,4,29
56,0,29370,Mikko Korhonen,30.50,122,4,28
56,0,23108,Matt Kuchar,30.50,122,4,28
61,0,29136,Innchoon Hwang,30.75,123,4,28
61,0,30925,Dustin Johnson,30.75,123,4,30
61,0,35104,Tom Lewis,30.75,123,4,28
61,0,23621,Rory Sabbatini,30.75,123,4,29
61,0,48081,Xander Schauffele,30.75,123,4,30
61,0,25804,Bubba Watson,30.75,123,4,28
67,0,25198,Francesco Molinari,31.00,124,4,30
67,0,50674,Ashton Turner,31.00,124,4,27
69,0,30944,Jason Kokrak,31.25,125,4,28
70,0,26329,Louis Oosthuizen,31.50,126,4,29
71,0,25364,Paul Casey,31.75,127,4,29
72,0,35450,Patrick Cantlay,32.00,128,4,31
72,0,36514,Yuki Inamori,32.00,128,4,30
