RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,1,52096,Adri Arnaus,346.0,2768,8
2,0,52453,Nicolai Hojgaard,345.6,2765,8
3,0,33448,Justin Thomas,344.1,2753,8
4,0,28237,Rory McIlroy,343.9,2751,8
5,-4,33653,Thomas Detry,342.8,2742,8
6,0,47483,Will Zalatoris,340.9,2727,8
7,0,30925,Dustin Johnson,340.4,2723,8
8,8,48081,Xander Schauffele,339.4,2715,8
9,0,46798,Anthony Quayle,339.3,2714,8
10,0,37378,Min Woo Lee,338.6,2709,8
11,0,48898,David Carey,337.8,2702,8
12,14,34363,Tyrrell Hatton,336.6,2693,8
13,-6,46970,Jon Rahm,336.4,2691,8
14,0,51634,Sahith Theegala,336.0,2688,8
15,30,45486,Joaquin Niemann,335.9,2687,8
16,0,45526,Abraham Ancer,335.3,2682,8
17,0,57366,Cameron Young,334.5,2676,8
18,-6,45523,Thriston Lawrence,334.1,2673,8
19,17,46464,Jordan L Smith,332.9,2663,8
20,0,33293,Thomas Pieters,332.1,2657,8
21,35,30911,Tommy Fleetwood,331.9,2655,8
22,6,51766,Wyndham Clark,331.0,2648,8
22,6,40098,Matt Fitzpatrick,331.0,2648,8
24,0,47679,Victor Perez,330.9,2647,8
24,0,45227,Lars Van Meijel,330.9,2647,8
26,0,46402,Talor Gooch,330.6,2645,8
27,0,33204,Shane Lowry,330.4,2643,8
28,0,39058,Lucas Herbert,330.3,2642,8
29,0,60369,Sam Bairstow,329.4,2635,8
30,0,52444,Filippo Celli,329.1,2633,8
31,0,47959,Bryson DeChambeau,327.9,2623,8
32,0,46717,Viktor Hovland,327.6,2621,8
33,0,39971,Sungjae Im,327.4,2619,8
34,0,25364,Paul Casey,327.3,2618,8
35,0,54190,Richard Mansell,327.1,2617,8
36,0,37189,Harold Varner III,326.6,2613,8
37,27,47504,Sam Burns,326.0,2608,8
38,0,29725,Tony Finau,325.6,2605,8
38,0,33674,Adrian Meronk,325.6,2605,8
40,0,24502,Adam Scott,325.4,2603,8
41,0,46601,Trey Mullinax,324.6,2597,8
42,0,30944,Jason Kokrak,323.9,2591,8
43,-29,33974,Dean Burmester,323.4,2587,8
44,-34,48117,Kurt Kitayama,322.9,2583,8
45,9,30926,Chris Kirk,322.6,2581,8
45,-37,34364,David Law,322.6,2581,8
47,0,49964,Aaron Wise,322.3,2578,8
48,0,21209,Sergio Garcia,321.6,2573,8
49,0,46046,Scottie Scheffler,321.4,2571,8
50,0,52215,Robert MacIntyre,321.3,2570,8
51,0,48632,Yuto Katsuragawa,320.0,2560,8
52,0,32139,Danny Willett,319.8,2558,8
53,0,48822,Sebastián Muñoz,319.3,2554,8
54,0,54480,Justin De Los Santos,319.0,2552,8
55,0,54421,Garrick Higgo,318.5,2548,8
56,0,37455,Si Woo Kim,318.0,2544,8
57,0,29954,Robert Dinwiddie,317.8,2542,8
58,0,20396,Lee Westwood,317.6,2541,8
59,-11,35891,Cameron Smith,317.4,2539,8
59,-53,34046,Jordan Spieth,317.4,2539,8
61,-56,45194,Marcus Armitage,317.1,2537,8
62,0,28723,John Parry,316.0,2528,8
63,-16,35450,Patrick Cantlay,315.8,2526,8
64,-32,55182,Tom Kim,314.9,2519,8
65,0,34362,Laurie Canter,314.8,2518,8
65,-28,39997,Corey Conners,314.8,2518,8
67,-18,45522,Christiaan Bezuidenhout,314.6,2517,8
68,0,63342,Barclay Brown,313.9,2511,8
69,0,32839,Hideki Matsuyama,313.8,2510,8
70,-47,29970,Dylan Frittelli,313.4,2507,8
71,0,34098,Russell Henley,312.6,2501,8
72,0,29420,Billy Horschel,311.6,2493,8
73,0,23802,Brad Kennedy,311.1,2489,8
74,0,25198,Francesco Molinari,309.8,2478,8
75,0,24138,Ian Poulter,309.0,2472,8
76,-41,33419,Cameron Tringale,308.4,2467,8
77,0,61560,Aaron Jarvis,307.9,2463,8
78,0,29478,Kevin Kisner,305.5,2444,8
79,0,48018,Sadom Kaewkanjana,305.1,2441,8
80,0,34360,Patrick Reed,303.8,2430,8
80,-11,31569,Jason Scrivener,303.8,2430,8
82,0,27644,Brian Harman,303.0,2424,8
83,0,46410,Jamie Rutherford,299.6,2397,8
