RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,54628,Lee Hodges,83.33%,60,72,-0.23
1,0,51997,Andrew Novak,83.33%,60,72,-0.18
3,0,51977,Max Greyserman,79.17%,57,72,-0.44
3,0,54218,Yuta Sugiura,79.17%,57,72,-0.30
3,0,33448,Justin Thomas,79.17%,57,72,-0.35
6,4,32102,Rickie Fowler,77.78%,56,72,-0.38
6,10,36801,Mark Hubbard,77.78%,56,72,-0.29
6,0,36884,Ben Kohles,77.78%,56,72,-0.21
6,44,27064,Jhonattan Vegas,77.78%,56,72,-0.34
10,0,34076,Joel Dahmen,76.39%,55,72,-0.24
10,-7,48117,Kurt Kitayama,76.39%,55,72,-0.38
10,0,48081,Xander Schauffele,76.39%,55,72,-0.22
10,21,39327,Ben Silverman,76.39%,55,72,-0.27
10,21,39324,J.J. Spaun,76.39%,55,72,-0.38
10,0,47483,Will Zalatoris,76.39%,55,72,-0.25
16,0,51696,Rico Hoey,75.00%,54,72,-0.35
16,0,39971,Sungjae Im,75.00%,54,72,-0.26
16,15,23108,Matt Kuchar,75.00%,54,72,-0.22
16,-11,32791,K.H. Lee,75.00%,54,72,-0.19
16,0,37378,Min Woo Lee,75.00%,54,72,-0.30
16,0,56100,Ren Yonezawa,75.00%,54,72,-0.31
22,0,51349,Nico Echavarria,73.61%,53,72,-0.49
22,0,54591,Ben Griffin,73.61%,53,72,-0.34
22,0,32686,Takahiro Hataji,73.61%,53,72,-0.13
22,1,29908,C.T. Pan,73.61%,53,72,-0.32
22,0,28252,Seamus Power,73.61%,53,72,-0.36
27,-17,54576,Patrick Fishburn,72.22%,52,72,-0.33
27,31,29936,Ryan Fox,72.22%,52,72,-0.25
27,-26,52375,Doug Ghim,72.22%,52,72,-0.27
27,0,12716,Charley Hoffman,72.22%,52,72,-0.25
27,0,32775,Shugo Imahira,72.22%,52,72,-0.29
27,0,37455,Si Woo Kim,72.22%,52,72,-0.40
27,0,34500,Ryosuke Kinoshita,72.22%,52,72,-0.35
27,0,59143,Mac Meissner,72.22%,52,72,-0.25
27,8,49947,Taylor Moore,72.22%,52,72,-0.29
27,0,47679,Victor Perez,72.22%,52,72,-0.33
27,-17,31323,Gary Woodland,72.22%,52,72,-0.38
27,0,52513,Carson Young,72.22%,52,72,-0.35
27,0,45242,Kevin Yu,72.22%,52,72,-0.33
40,0,47591,Eric Cole,70.83%,51,72,-0.33
40,0,48632,Yuto Katsuragawa,70.83%,51,72,-0.35
40,0,34587,Chan Kim,70.83%,51,72,-0.20
40,-5,27129,Luke List,70.83%,51,72,-0.35
40,-24,47983,Chad Ramey,70.83%,51,72,-0.27
40,0,66583,Taisei Shimizu,70.83%,51,72,-0.33
40,-5,55893,Sam Stevens,70.83%,51,72,-0.39
47,0,47917,Takumi Kanaya,69.44%,50,72,-0.32
47,0,40162,Justin Lower,69.44%,50,72,-0.30
47,0,32839,Hideki Matsuyama,69.44%,50,72,-0.22
47,0,40115,Adam Svensson,69.44%,50,72,-0.28
47,-24,25493,Nick Taylor,69.44%,50,72,-0.30
52,0,49120,Kensei Hirata,68.06%,49,72,-0.33
52,0,35532,Tom Hoge,68.06%,49,72,-0.29
52,0,50525,Collin Morikawa,68.06%,49,72,-0.31
52,-29,34256,Andrew Putnam,68.06%,49,72,-0.33
56,0,39977,Max Homa,66.67%,48,72,-0.33
56,0,32816,Satoshi Kodaira,66.67%,48,72,-0.25
56,-40,28775,Nate Lashley,66.67%,48,72,-0.29
59,-24,57975,Harry Hall,65.28%,47,72,-0.36
59,7,47347,Adam Schenk,65.28%,47,72,-0.30
59,0,51634,Sahith Theegala,65.28%,47,72,-0.21
62,-6,40058,Zac Blair,63.89%,46,72,-0.15
62,-60,59095,Chris Gotterup,63.89%,46,72,-0.20
64,0,51287,Ryo Hisatsune,62.50%,45,72,-0.27
64,0,36699,Patrick Rodgers,62.50%,45,72,-0.18
64,-1,27139,David Skinns,62.50%,45,72,-0.13
64,0,52666,Sami Valimaki,62.50%,45,72,-0.33
68,-63,35461,Beau Hossler,61.11%,44,72,-0.25
68,0,30852,Ryo Ishikawa,61.11%,44,72,-0.32
68,0,57900,Chandler Phillips,61.11%,44,72,-0.30
71,-15,50188,S.H. Kim,59.72%,43,72,-0.33
71,-24,47995,Davis Riley,59.72%,43,72,-0.26
73,0,46879,Naoyuki Kataoka,58.33%,42,72,-0.36
74,0,27747,Hiroshi Iwata,56.94%,41,72,-0.29
75,0,46270,Takashi Ogiso,52.78%,38,72,-0.16
75,0,55623,Kaito Onishi,52.78%,38,72,-0.29
75,0,30927,Brendon Todd,52.78%,38,72,-0.18
