PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,GIR_PERCENTAGE,BIRDIE_TO_BOGEY_RATIO,AVG_TOTAL_DRIVING_DISTANCE,FIR_PERCENTAGE,SCORING_AVERAGE,SCRAMBLING_PERCENTAGE,AVG_THREE_PUTTS_PER_ROUND,AVG_PUTTS_PER_ROUND
25686,Jason Dufner,2022 Fortinet Championship,64.11,0.97,292.1,59.37,71.78,54.8,0.7,29.62
32150,Michael Thompson,2022 Fortinet Championship,64.09,1.41,287.9,65.87,70.26,62.43,0.43,28.43
34363,Tyrrell Hatton,2022 Fortinet Championship,64.06,1.28,305.7,54.6,70.23,57.0,0.39,28.41
27139,David Skinns,2022 Fortinet Championship,64.06,1.16,301.8,51.15,71.12,53.86,0.45,28.98
46435,Austin Cook,2022 Fortinet Championship,64.01,1.29,285.5,66.98,70.75,62.19,0.36,28.55
30978,Kiradech Aphibarnrat,2022 Fortinet Championship,63.94,1.23,293.0,65.39,70.87,57.56,0.43,28.66
23621,Rory Sabbatini,2022 Fortinet Championship,63.94,1.3,290.0,61.33,70.09,59.1,0.51,28.38
23108,Matt Kuchar,2022 Fortinet Championship,63.93,1.63,287.9,63.45,69.77,69.2,0.41,27.86
28114,Dawie van der Walt,2022 Fortinet Championship,63.8,0.99,298.2,59.49,71.55,53.71,0.74,29.32
54421,Garrick Higgo,2022 Fortinet Championship,63.79,0.92,305.0,56.97,72.03,45.77,0.53,29.78
51894,Vince Whaley,2022 Fortinet Championship,63.79,1.42,302.0,51.57,70.08,58.12,0.31,28.31
51950,Max McGreevy,2022 Fortinet Championship,63.58,1.16,289.8,63.62,70.97,57.63,0.43,28.81
33486,Roger Sloan,2022 Fortinet Championship,63.55,1.13,296.2,58.02,71.08,55.53,0.53,28.68
35617,Martin Trainer,2022 Fortinet Championship,63.53,1.14,305.5,54.12,71.17,56.45,0.46,28.85
35461,Beau Hossler,2022 Fortinet Championship,63.49,1.2,309.3,52.09,71.06,58.7,0.33,28.44
36799,Stephan Jaeger,2022 Fortinet Championship,63.46,1.26,293.0,57.02,70.45,60.11,0.61,28.56
35879,Kelly Kraft,2022 Fortinet Championship,63.45,1.21,289.3,66.56,70.58,57.27,0.32,28.54
25198,Francesco Molinari,2022 Fortinet Championship,63.42,1.16,295.4,61.21,71.02,57.31,0.55,28.74
33667,Carlos Ortiz,2022 Fortinet Championship,63.39,1.21,303.4,56.89,70.82,55.72,0.39,28.56
32640,Troy Merritt,2022 Fortinet Championship,63.31,1.32,292.2,64.0,70.31,62.06,0.44,28.29
36852,Jim Knous,2022 Fortinet Championship,63.18,1.22,299.0,55.73,70.86,61.24,0.65,28.65
36689,Brooks Koepka,2022 Fortinet Championship,63.16,1.2,311.9,53.41,70.8,56.39,0.63,28.98
10381,Curtis Thompson,2022 Fortinet Championship,63.11,1.14,309.2,53.33,71.09,59.06,0.58,28.97
35506,Mackenzie Hughes,2022 Fortinet Championship,62.8,1.17,298.0,57.53,70.68,59.74,0.54,28.62
47128,Richy Werenski,2022 Fortinet Championship,62.79,1.05,294.9,56.14,71.57,53.79,0.56,28.9
34360,Patrick Reed,2022 Fortinet Championship,62.78,1.23,290.6,59.25,71.0,60.98,0.4,28.44
25818,Scott Piercy,2022 Fortinet Championship,62.63,1.24,295.8,56.73,70.51,59.85,0.52,28.27
46550,Brandon Hagy,2022 Fortinet Championship,62.54,1.03,317.9,48.18,71.44,53.23,0.69,29.18
24138,Ian Poulter,2022 Fortinet Championship,62.25,1.16,295.6,62.1,70.86,61.2,0.55,28.5
32102,Rickie Fowler,2022 Fortinet Championship,62.21,1.11,309.4,57.91,70.99,56.94,0.37,28.69
56278,Matthew Wolff,2022 Fortinet Championship,62.17,1.14,318.4,50.0,71.32,55.31,0.47,28.45
29926,Danny Lee,2022 Fortinet Championship,61.86,1.19,297.8,55.43,70.9,56.02,0.46,28.4
33597,Harry Higgs,2022 Fortinet Championship,61.39,1.08,301.8,55.52,71.16,60.61,0.41,28.66
48084,Wesley Bryan,2022 Fortinet Championship,61.0,1.09,297.2,51.79,71.37,60.17,0.57,28.27
39436,Joshua Creel,2022 Fortinet Championship,60.4,0.95,284.6,63.59,71.79,57.91,0.55,28.98
27895,Jonas Blixt,2022 Fortinet Championship,58.78,0.91,296.6,58.76,72.02,53.91,0.44,28.34
39058,Lucas Herbert,2022 Fortinet Championship,57.82,1.19,307.3,50.78,71.28,60.73,0.31,27.7
