RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,33597,Harry Higgs,73.33,22,30
2,0,35532,Tom Hoge,70.59,24,34
3,0,39971,Sungjae Im,70.00,21,30
4,60,32839,Hideki Matsuyama,68.00,17,25
5,0,33948,Byeong Hun An,67.57,25,37
6,46,27349,Alex Noren,65.63,21,32
6,0,34431,Robert Streb,65.63,21,32
8,12,34046,Jordan Spieth,65.52,19,29
9,0,33204,Shane Lowry,65.38,17,26
10,0,28089,Jason Day,64.52,20,31
10,0,20766,Padraig Harrington,64.52,20,31
12,0,45526,Abraham Ancer,64.29,18,28
12,-6,47483,Will Zalatoris,64.29,18,28
14,0,34363,Tyrrell Hatton,63.64,21,33
14,0,26329,Louis Oosthuizen,63.64,14,22
16,0,26300,Matt Jones,63.16,24,38
17,0,32102,Rickie Fowler,62.07,18,29
17,47,46970,Jon Rahm,62.07,18,29
19,0,45522,Christiaan Bezuidenhout,61.29,19,31
20,0,33141,Keegan Bradley,60.87,14,23
21,0,29725,Tony Finau,60.71,17,28
22,0,52686,Rasmus Hojgaard,60.61,20,33
23,0,35104,Tom Lewis,60.53,23,38
24,0,31323,Gary Woodland,60.00,18,30
25,27,46046,Scottie Scheffler,58.82,20,34
26,0,46717,Viktor Hovland,58.62,17,29
27,0,35891,Cameron Smith,58.33,21,36
27,0,29518,Brendan Steele,58.33,21,36
29,0,54334,Ben Cook,58.06,18,31
29,0,37189,Harold Varner III,58.06,18,31
31,0,47993,Denny McCarthy,57.89,22,38
32,0,35450,Patrick Cantlay,57.69,15,26
32,0,34587,Chan Kim,57.69,15,26
34,0,22405,Justin Rose,57.14,16,28
35,0,25632,Jimmy Walker,56.76,21,37
36,0,30944,Jason Kokrak,56.67,17,30
36,0,29221,Webb Simpson,56.67,17,30
38,0,06527,Steve Stricker,56.25,18,32
39,0,29974,Branden Grace,55.88,19,34
39,0,24138,Ian Poulter,55.88,19,34
41,0,47989,Sam Horsfield,55.56,20,36
42,0,59872,Brad Marek,55.26,21,38
43,0,54421,Garrick Higgo,54.84,17,31
43,0,47128,Richy Werenski,54.84,17,31
45,0,20229,Stewart Cink,54.55,18,33
46,0,32139,Danny Willett,54.29,19,35
47,0,39997,Corey Conners,54.17,13,24
48,20,51766,Wyndham Clark,53.85,21,39
48,0,31646,Emiliano Grillo,53.85,14,26
50,0,27214,Kevin Streelman,53.57,15,28
51,-35,47959,Bryson DeChambeau,53.13,17,32
51,0,31569,Jason Scrivener,53.13,17,32
53,-17,20396,Lee Westwood,52.78,19,36
54,0,25364,Paul Casey,52.17,12,23
55,0,45157,Cam Davis,51.61,16,31
55,0,33399,Adam Hadwin,51.61,16,31
55,0,34360,Patrick Reed,51.61,16,31
58,-6,49964,Aaron Wise,51.52,17,33
59,0,19846,Brian Gay,51.22,21,41
60,0,33974,Dean Burmester,50.00,16,32
60,-14,46402,Talor Gooch,50.00,16,32
62,0,40098,Matt Fitzpatrick,48.39,15,31
62,-16,33667,Carlos Ortiz,48.39,15,31
64,0,45486,Joaquin Niemann,47.83,11,23
64,0,35181,Daniel van Tonder,47.83,11,23
66,0,29420,Billy Horschel,46.15,12,26
66,0,01810,Phil Mickelson,46.15,12,26
68,0,25804,Bubba Watson,45.95,17,37
69,0,36689,Brooks Koepka,45.83,11,24
70,-41,27936,Martin Laird,45.45,10,22
71,0,52215,Robert MacIntyre,44.44,12,27
72,-68,34099,Harris English,43.75,14,32
73,0,50525,Collin Morikawa,43.48,10,23
74,0,34076,Joel Dahmen,43.33,13,30
75,0,12716,Charley Hoffman,42.86,9,21
76,0,48887,Matt Wallace,42.31,11,26
77,0,21528,Henrik Stenson,41.94,13,31
78,0,34098,Russell Henley,41.38,12,29
78,0,28237,Rory McIlroy,41.38,12,29
80,0,39058,Lucas Herbert,40.00,12,30
81,-21,40026,Daniel Berger,37.93,11,29
