RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,46414,Aaron Rai,72.02%,857,1190
2,0,36884,Ben Kohles,71.78%,608,847
3,1,50525,Collin Morikawa,70.57%,741,1050
4,-1,49960,Sepp Straka,70.10%,736,1050
5,1,26596,Ryan Moore,69.95%,540,772
6,1,40026,Daniel Berger,69.88%,485,694
7,2,30927,Brendon Todd,69.60%,806,1158
8,2,52513,Carson Young,69.58%,558,802
9,-1,34098,Russell Henley,69.49%,713,1026
10,-5,30911,Tommy Fleetwood,69.22%,688,994
11,0,25900,Lucas Glover,69.19%,667,964
12,0,52375,Doug Ghim,68.65%,578,842
13,0,40058,Zac Blair,68.08%,531,780
14,1,26476,Chez Reavie,67.32%,447,664
15,1,36801,Mark Hubbard,67.31%,700,1040
16,1,37455,Si Woo Kim,67.27%,779,1158
17,1,57362,Austin Eckroat,67.13%,729,1086
18,1,28775,Nate Lashley,66.97%,446,666
19,1,45609,Tyler Duncan,66.95%,466,696
20,0,46046,Scottie Scheffler,66.90%,665,994
21,1,27644,Brian Harman,66.29%,769,1160
22,1,33204,Shane Lowry,66.02%,647,980
23,1,23108,Matt Kuchar,65.99%,487,738
23,1,34256,Andrew Putnam,65.99%,582,882
25,1,24024,Zach Johnson,65.96%,405,614
26,1,49771,J.T. Poston,65.71%,711,1082
27,2,32640,Troy Merritt,65.63%,529,806
28,2,34076,Joel Dahmen,65.62%,584,890
29,-1,56630,Akshay Bhatia,65.50%,786,1200
30,1,54628,Lee Hodges,65.35%,647,990
31,1,55708,Hayden Buckley,65.31%,499,764
31,1,55182,Tom Kim,65.31%,704,1078
33,1,39997,Corey Conners,64.72%,752,1162
34,1,34587,Chan Kim,64.60%,553,856
35,1,40115,Adam Svensson,64.59%,748,1158
36,1,48319,Tom Whitney,64.31%,409,636
37,1,51890,Greyson Sigg,64.25%,496,772
38,1,51349,Nico Echavarria,64.24%,555,864
39,2,47983,Chad Ramey,63.95%,495,774
40,3,39327,Ben Silverman,63.89%,584,914
41,1,30926,Chris Kirk,63.83%,637,998
42,2,27349,Alex Noren,63.78%,611,958
43,-3,29420,Billy Horschel,63.76%,672,1054
44,1,29908,C.T. Pan,63.75%,408,640
45,1,31646,Emiliano Grillo,63.69%,721,1132
46,1,37275,Sam Ryder,63.65%,485,762
47,2,39971,Sungjae Im,63.62%,738,1160
48,0,28252,Seamus Power,63.59%,683,1074
49,2,34099,Harris English,63.21%,646,1022
50,2,22405,Justin Rose,63.20%,541,856
51,2,40098,Matt Fitzpatrick,63.18%,628,994
51,-1,48153,Matthieu Pavon,63.18%,556,880
53,1,51287,Ryo Hisatsune,63.13%,577,914
54,2,33486,Roger Sloan,62.93%,399,634
55,2,32791,K.H. Lee,62.82%,468,745
56,2,52955,Ludvig Åberg,62.68%,623,994
56,3,57900,Chandler Phillips,62.68%,509,812
58,-3,33141,Keegan Bradley,62.55%,693,1108
59,1,52666,Sami Valimaki,62.54%,414,662
60,1,34046,Jordan Spieth,62.45%,612,980
61,1,27649,Brandt Snedeker,62.38%,398,638
62,1,47993,Denny McCarthy,62.37%,726,1164
63,1,32757,Patton Kizzire,62.33%,364,584
64,2,27064,Jhonattan Vegas,62.17%,429,690
65,2,50493,Justin Suh,62.08%,447,720
66,2,52374,Brandon Wu,61.87%,490,792
67,2,36871,Matt NeSmith,61.83%,481,778
68,2,59143,Mac Meissner,61.82%,497,804
69,2,33399,Adam Hadwin,61.79%,629,1018
70,3,32367,Jorge Campillo,61.76%,441,714
71,1,47504,Sam Burns,61.62%,631,1024
72,2,47347,Adam Schenk,61.58%,638,1036
73,-8,48081,Xander Schauffele,61.57%,644,1046
74,1,54576,Patrick Fishburn,61.48%,375,610
75,1,36326,David Lipsky,61.32%,417,680
76,4,28089,Jason Day,61.16%,592,968
77,4,45157,Cam Davis,61.09%,639,1046
78,0,35532,Tom Hoge,61.02%,742,1216
79,4,58168,Davis Thompson,60.85%,690,1134
80,4,40162,Justin Lower,60.75%,596,981
81,4,51696,Rico Hoey,60.70%,471,776
81,4,27214,Kevin Streelman,60.70%,414,682
83,-4,46717,Viktor Hovland,60.65%,484,798
84,3,27936,Martin Laird,60.63%,405,668
85,3,52514,Trace Crowe,60.61%,377,622
86,3,25493,Nick Taylor,60.60%,566,934
87,3,46442,Maverick McNealy,60.55%,597,986
88,3,47679,Victor Perez,60.45%,567,938
89,3,47483,Will Zalatoris,60.44%,521,862
90,-8,28237,Rory McIlroy,60.29%,580,962
91,2,51634,Sahith Theegala,60.12%,713,1186
92,3,32102,Rickie Fowler,60.09%,548,912
93,3,39546,Keith Mitchell,60.02%,539,898
94,3,46340,Alex Smalley,59.94%,416,694
95,3,32839,Hideki Matsuyama,59.67%,586,982
96,2,57366,Cameron Young,59.61%,676,1134
97,3,37378,Min Woo Lee,59.55%,480,806
98,-4,45522,Christiaan Bezuidenhout,59.49%,630,1059
98,3,39324,J.J. Spaun,59.49%,470,790
100,3,36799,Stephan Jaeger,59.39%,569,958
101,3,48867,Matti Schmid,59.33%,458,772
102,3,46441,Robby Shelton,59.30%,459,774
103,3,35310,Lanto Griffin,59.04%,392,664
104,3,48117,Kurt Kitayama,58.99%,551,934
105,3,33653,Thomas Detry,58.98%,545,924
106,3,60067,Joe Highsmith,58.96%,375,636
107,4,47591,Eric Cole,58.74%,746,1270
108,4,54783,Dylan Wu,58.57%,485,828
109,4,45242,Kevin Yu,58.44%,464,794
110,4,60004,Jacob Bridgeman,58.42%,437,748
110,0,35450,Patrick Cantlay,58.42%,534,914
112,3,51997,Andrew Novak,58.41%,514,880
112,3,50484,Hayden Springer,58.41%,403,690
114,5,29725,Tony Finau,58.36%,642,1100
115,4,24502,Adam Scott,58.28%,577,990
116,1,51070,Vincent Norrman,58.27%,398,683
117,1,47995,Davis Riley,58.25%,494,848
118,3,55454,Carl Yuan,58.20%,369,634
119,3,40006,Erik van Rooyen,58.14%,543,934
120,3,51977,Max Greyserman,58.03%,553,953
121,3,55893,Sam Stevens,57.87%,559,966
122,3,49947,Taylor Moore,57.80%,652,1128
123,3,47988,Nick Hardy,57.38%,521,908
124,3,34563,Chesson Hadley,57.23%,380,664
125,3,36699,Patrick Rodgers,57.18%,589,1030
126,3,52372,Cameron Champ,57.12%,329,576
