RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,48081,Xander Schauffele,70.49%,289,410
2,1,22371,Aaron Baddeley,67.93%,250,368
2,0,32839,Hideki Matsuyama,67.93%,286,421
4,0,27349,Alex Noren,67.26%,265,394
5,1,39327,Ben Silverman,66.22%,245,370
6,1,46046,Scottie Scheffler,66.18%,227,343
7,3,30911,Tommy Fleetwood,66.03%,276,418
8,0,47993,Denny McCarthy,65.84%,372,565
9,2,50525,Collin Morikawa,65.68%,310,472
10,-1,46442,Maverick McNealy,65.38%,287,439
11,5,34098,Russell Henley,65.00%,299,460
11,3,34587,Chan Kim,65.00%,221,340
13,0,45522,Christiaan Bezuidenhout,64.93%,337,519
14,1,35506,Mackenzie Hughes,64.91%,357,550
15,-3,52215,Robert MacIntyre,64.85%,286,441
16,1,33486,Roger Sloan,64.34%,175,272
17,5,52955,Ludvig Åberg,64.16%,265,413
18,9,28237,Rory McIlroy,64.08%,273,426
19,1,28775,Nate Lashley,63.96%,181,283
20,-1,35450,Patrick Cantlay,63.89%,276,432
20,1,54591,Ben Griffin,63.89%,315,493
22,1,34256,Andrew Putnam,63.76%,234,367
23,-5,29420,Billy Horschel,63.62%,292,459
23,1,37455,Si Woo Kim,63.62%,334,525
25,0,28252,Seamus Power,63.60%,290,456
26,0,27936,Martin Laird,63.38%,180,284
27,2,55893,Sam Stevens,63.33%,247,390
28,2,51890,Greyson Sigg,63.31%,195,308
29,8,39971,Sungjae Im,63.26%,334,528
30,-3,46414,Aaron Rai,63.18%,278,440
31,0,54576,Patrick Fishburn,63.11%,142,225
32,0,28089,Jason Day,63.00%,286,454
33,0,60004,Jacob Bridgeman,62.97%,199,316
34,0,57975,Harry Hall,62.91%,251,399
35,0,39977,Max Homa,62.79%,302,481
36,0,52375,Doug Ghim,62.77%,204,325
37,1,22405,Justin Rose,62.53%,252,403
38,1,26596,Ryan Moore,62.46%,198,317
39,1,34099,Harris English,62.39%,297,476
40,1,59442,Parker Coody,62.15%,202,325
41,23,24502,Adam Scott,62.09%,267,430
42,0,51977,Max Greyserman,62.07%,252,406
43,0,48887,Matt Wallace,61.96%,202,326
44,0,45609,Tyler Duncan,61.94%,179,289
45,0,51997,Andrew Novak,61.92%,213,344
45,0,57900,Chandler Phillips,61.92%,239,386
47,7,56630,Akshay Bhatia,61.79%,325,526
48,-1,40098,Matt Fitzpatrick,61.76%,281,455
49,-1,29908,C.T. Pan,61.68%,169,274
50,-1,48117,Kurt Kitayama,61.63%,249,404
51,-1,40058,Zac Blair,61.62%,220,357
52,-1,59143,Mac Meissner,61.61%,207,336
53,-1,51894,Vince Whaley,61.59%,186,302
54,-1,27644,Brian Harman,61.58%,319,518
55,0,35461,Beau Hossler,61.35%,227,370
56,0,32367,Jorge Campillo,61.27%,193,315
56,0,47483,Will Zalatoris,61.27%,242,395
58,0,54628,Lee Hodges,61.26%,272,444
59,0,24024,Zach Johnson,61.22%,161,263
60,0,32791,K.H. Lee,61.21%,202,330
61,0,40115,Adam Svensson,61.03%,307,503
62,7,33448,Justin Thomas,61.00%,244,400
63,-1,34255,Joseph Bramlett,60.96%,203,333
64,-1,30927,Brendon Todd,60.93%,326,535
65,0,25493,Nick Taylor,60.80%,273,449
66,4,47504,Sam Burns,60.78%,282,464
67,-1,36801,Mark Hubbard,60.71%,275,453
68,-1,47591,Eric Cole,60.70%,383,631
69,-1,39546,Keith Mitchell,60.64%,208,343
70,8,51634,Sahith Theegala,60.61%,300,495
71,1,33653,Thomas Detry,60.41%,267,442
72,15,51766,Wyndham Clark,60.29%,246,408
73,1,23108,Matt Kuchar,60.23%,212,352
74,1,46441,Robby Shelton,60.22%,224,372
75,1,54783,Dylan Wu,60.17%,213,354
76,1,50188,S.H. Kim,60.11%,336,559
77,2,55454,Carl Yuan,60.00%,186,310
78,2,58168,Davis Thompson,59.96%,283,472
79,2,36699,Patrick Rodgers,59.95%,250,417
80,3,47679,Victor Perez,59.79%,232,388
81,-10,30926,Chris Kirk,59.73%,267,447
82,2,49947,Taylor Moore,59.68%,302,506
83,3,26476,Chez Reavie,59.56%,162,272
84,4,50484,Hayden Springer,59.52%,172,289
85,0,49960,Sepp Straka,59.45%,261,439
86,3,59095,Chris Gotterup,59.38%,209,352
87,-5,40250,Taylor Pendrith,59.36%,260,438
88,2,52514,Trace Crowe,59.29%,166,280
89,2,49771,J.T. Poston,59.22%,289,488
90,2,32640,Troy Merritt,59.17%,213,360
91,2,36799,Stephan Jaeger,59.13%,259,438
92,2,47347,Adam Schenk,59.06%,277,469
93,2,51696,Rico Hoey,59.03%,183,310
93,2,57366,Cameron Young,59.03%,291,493
95,2,47983,Chad Ramey,59.01%,203,344
96,2,55708,Hayden Buckley,59.00%,200,339
96,2,34076,Joel Dahmen,59.00%,200,339
98,10,35532,Tom Hoge,58.85%,306,520
99,1,48867,Matti Schmid,58.82%,190,323
100,1,39324,J.J. Spaun,58.79%,184,313
101,1,34466,Peter Malnati,58.76%,265,451
102,1,34563,Chesson Hadley,58.70%,172,293
103,1,32757,Patton Kizzire,58.69%,125,213
104,10,33204,Shane Lowry,58.65%,244,416
105,0,36871,Matt NeSmith,58.63%,180,307
106,0,45242,Kevin Yu,58.61%,177,302
107,5,48153,Matthieu Pavon,58.55%,226,386
108,-1,47995,Davis Riley,58.52%,230,393
109,-1,12716,Charley Hoffman,58.49%,186,318
110,1,33948,Byeong Hun An,58.35%,255,437
111,-1,40162,Justin Lower,58.29%,232,398
112,12,29725,Tony Finau,58.05%,256,441
113,0,55182,Tom Kim,57.96%,273,471
114,0,52513,Carson Young,57.83%,192,332
115,1,52666,Sami Valimaki,57.77%,171,296
116,1,54421,Garrick Higgo,57.76%,201,348
117,1,45157,Cam Davis,57.67%,282,489
118,1,52372,Cameron Champ,57.60%,144,250
119,1,51287,Ryo Hisatsune,57.53%,210,365
120,2,36884,Ben Kohles,57.34%,203,354
121,2,47988,Nick Hardy,57.26%,205,358
122,2,27139,David Skinns,57.24%,166,290
123,3,59836,Pierceson Coody,57.18%,199,348
124,3,39997,Corey Conners,57.08%,254,445
125,3,40006,Erik van Rooyen,57.03%,211,370
126,3,31646,Emiliano Grillo,56.97%,286,502
127,3,47663,Kevin Dougherty,56.85%,141,248
128,3,25900,Lucas Glover,56.80%,238,419
129,3,32102,Rickie Fowler,56.71%,245,432
130,3,39975,Michael Kim,56.55%,190,336
130,3,33968,Thorbjørn Olesen,56.55%,177,313
132,3,51349,Nico Echavarria,56.45%,197,349
133,3,33408,Tyson Alexander,56.44%,206,365
134,3,33141,Keegan Bradley,56.41%,264,468
135,3,52374,Brandon Wu,56.20%,195,347
