RANK,MOVEMENT,PLAYER_ID,PLAYER,BIRDIE TO BOGEY RATIO,TOTAL BIRDIES AND BETTER,TOTAL BOGEYS AND WORSE
1,0,46046,Scottie Scheffler,2.83,377,133
2,0,48081,Xander Schauffele,2.64,356,135
3,7,50525,Collin Morikawa,1.89,328,174
4,-1,34587,Chan Kim,1.88,291,155
5,0,39546,Keith Mitchell,1.84,313,170
6,0,60004,Jacob Bridgeman,1.81,251,139
6,0,46414,Aaron Rai,1.81,354,196
8,0,52955,Ludvig Åberg,1.79,309,173
8,0,39327,Ben Silverman,1.79,275,154
10,0,27349,Alex Noren,1.78,288,162
11,1,46442,Maverick McNealy,1.76,318,181
12,2,47504,Sam Burns,1.75,356,203
13,0,54591,Ben Griffin,1.74,373,214
14,0,54576,Patrick Fishburn,1.72,182,106
15,1,51997,Andrew Novak,1.71,274,160
15,1,27064,Jhonattan Vegas,1.71,229,134
17,4,39971,Sungjae Im,1.70,378,222
17,2,32839,Hideki Matsuyama,1.70,284,167
19,2,51766,Wyndham Clark,1.69,310,183
19,-1,52375,Doug Ghim,1.69,249,147
19,5,28237,Rory McIlroy,1.69,289,171
22,-3,55893,Sam Stevens,1.68,308,183
23,-2,51977,Max Greyserman,1.66,312,188
24,15,34098,Russell Henley,1.65,285,173
25,-1,29725,Tony Finau,1.64,364,222
25,-1,32757,Patton Kizzire,1.64,190,116
25,-1,58168,Davis Thompson,1.64,363,221
28,1,28089,Jason Day,1.63,305,187
28,1,57975,Harry Hall,1.63,293,180
28,6,52215,Robert MacIntyre,1.63,301,185
28,1,59143,Mac Meissner,1.63,254,156
28,1,34256,Andrew Putnam,1.63,255,156
33,-9,29420,Billy Horschel,1.62,316,195
33,0,35461,Beau Hossler,1.62,277,171
35,11,30911,Tommy Fleetwood,1.61,259,161
35,-1,40006,Erik van Rooyen,1.61,301,187
37,0,39975,Michael Kim,1.60,278,174
38,1,40250,Taylor Pendrith,1.59,325,205
39,-1,35450,Patrick Cantlay,1.58,289,183
39,18,33448,Justin Thomas,1.58,283,179
41,-7,35532,Tom Hoge,1.57,393,250
41,-2,37455,Si Woo Kim,1.57,357,227
41,22,24502,Adam Scott,1.57,288,184
41,-2,50484,Hayden Springer,1.57,229,146
45,-1,57900,Chandler Phillips,1.56,265,170
45,22,51634,Sahith Theegala,1.56,363,232
45,-1,48887,Matt Wallace,1.56,261,167
48,-2,52514,Trace Crowe,1.55,206,133
48,-2,36699,Patrick Rodgers,1.55,293,189
48,-2,45242,Kevin Yu,1.55,246,159
51,-1,39997,Corey Conners,1.54,341,221
51,-1,51696,Rico Hoey,1.54,247,160
51,19,46717,Viktor Hovland,1.54,249,162
51,-1,47993,Denny McCarthy,1.54,329,214
51,-1,27139,David Skinns,1.54,229,149
56,-2,22371,Aaron Baddeley,1.53,211,138
56,-17,45522,Christiaan Bezuidenhout,1.53,309,202
56,-2,36801,Mark Hubbard,1.53,319,208
56,-2,39324,J.J. Spaun,1.53,229,150
60,1,33948,Byeong Hun An,1.52,325,214
60,-3,56630,Akshay Bhatia,1.52,358,235
62,-3,51287,Ryo Hisatsune,1.51,279,185
62,-3,40162,Justin Lower,1.51,311,206
64,-1,59836,Pierceson Coody,1.49,258,173
64,-1,32640,Troy Merritt,1.49,254,171
64,-1,52513,Carson Young,1.49,262,176
67,0,27644,Brian Harman,1.48,328,221
67,0,37275,Sam Ryder,1.48,253,171
69,1,51349,Nico Echavarria,1.47,272,185
69,1,35506,Mackenzie Hughes,1.47,311,212
69,1,24024,Zach Johnson,1.47,196,133
69,1,27936,Martin Laird,1.47,191,130
69,1,28775,Nate Lashley,1.47,196,133
69,1,28252,Seamus Power,1.47,289,196
69,1,54783,Dylan Wu,1.47,256,174
76,2,35310,Lanto Griffin,1.46,216,148
76,2,33486,Roger Sloan,1.46,187,128
76,2,51894,Vince Whaley,1.46,195,134
79,2,32791,K.H. Lee,1.45,226,156
79,2,47679,Victor Perez,1.45,247,170
79,2,49771,J.T. Poston,1.45,330,228
79,2,46340,Alex Smalley,1.45,214,148
83,2,12716,Charley Hoffman,1.44,230,160
83,19,33204,Shane Lowry,1.44,295,205
85,1,34255,Joseph Bramlett,1.43,238,167
85,1,40098,Matt Fitzpatrick,1.43,282,197
85,1,59095,Chris Gotterup,1.43,247,173
85,1,26476,Chez Reavie,1.43,194,136
89,1,60067,Joe Highsmith,1.42,207,146
89,1,30926,Chris Kirk,1.42,303,213
89,1,48117,Kurt Kitayama,1.42,257,181
89,1,48867,Matti Schmid,1.42,237,167
93,1,34076,Joel Dahmen,1.41,253,179
93,1,33653,Thomas Detry,1.41,292,207
93,1,55182,Tom Kim,1.41,336,238
96,1,29908,C.T. Pan,1.40,168,120
96,1,51890,Greyson Sigg,1.40,204,146
98,1,33141,Keegan Bradley,1.39,318,229
98,1,34563,Chesson Hadley,1.39,201,145
98,1,36871,Matt NeSmith,1.39,213,153
101,1,45609,Tyler Duncan,1.38,182,132
101,1,47988,Nick Hardy,1.38,250,181
101,8,49960,Sepp Straka,1.38,280,203
101,1,57366,Cameron Young,1.38,337,244
105,1,32367,Jorge Campillo,1.37,202,147
105,1,59442,Parker Coody,1.37,199,145
105,1,47663,Kevin Dougherty,1.37,179,131
108,1,47591,Eric Cole,1.36,383,282
108,1,45157,Cam Davis,1.36,324,238
108,1,33399,Adam Hadwin,1.36,319,234
108,1,50188,S.H. Kim,1.36,345,253
108,1,46441,Robby Shelton,1.36,240,176
113,2,59866,Nick Dunlap,1.35,292,217
113,2,36799,Stephan Jaeger,1.35,297,220
113,2,47995,Davis Riley,1.35,261,193
113,2,30927,Brendon Todd,1.35,319,237
117,2,40058,Zac Blair,1.34,216,161
117,2,47983,Chad Ramey,1.34,230,172
117,2,22405,Justin Rose,1.34,227,169
120,2,34099,Harris English,1.33,273,205
120,2,36884,Ben Kohles,1.33,240,180
120,2,26596,Ryan Moore,1.33,210,158
123,2,40026,Daniel Berger,1.32,204,155
123,2,37378,Min Woo Lee,1.32,245,185
123,13,48153,Matthieu Pavon,1.32,256,194
123,2,34046,Jordan Spieth,1.32,290,220
127,1,39977,Max Homa,1.31,271,207
127,1,27214,Kevin Streelman,1.31,198,151
127,1,52666,Sami Valimaki,1.31,202,154
130,1,25900,Lucas Glover,1.30,261,201
130,1,54628,Lee Hodges,1.30,254,196
130,1,46113,Ryan McCormick,1.30,189,145
130,1,49947,Taylor Moore,1.30,301,232
130,1,47347,Adam Schenk,1.30,300,231
135,1,52372,Cameron Champ,1.29,170,132
136,2,54421,Garrick Higgo,1.28,217,169
136,2,50493,Justin Suh,1.28,222,174
136,2,52374,Brandon Wu,1.28,236,184
139,2,57362,Austin Eckroat,1.27,311,244
139,2,40115,Adam Svensson,1.27,293,231
141,2,55708,Hayden Buckley,1.25,212,169
141,2,47483,Will Zalatoris,1.25,232,185
143,3,31646,Emiliano Grillo,1.24,292,236
143,3,27129,Luke List,1.24,214,172
145,3,23108,Matt Kuchar,1.23,185,151
145,3,33968,Thorbjørn Olesen,1.23,187,152
147,3,47420,Jake Knapp,1.22,299,246
148,3,25493,Nick Taylor,1.21,256,211
149,3,29936,Ryan Fox,1.18,228,193
150,3,50497,Adrien Dumont de Chassart,1.17,213,182
151,3,48319,Tom Whitney,1.16,182,157
151,3,55454,Carl Yuan,1.16,183,158
153,4,33408,Tyson Alexander,1.12,211,189
153,4,52453,Nicolai Højgaard,1.12,203,182
153,4,36326,David Lipsky,1.12,181,162
153,4,38991,Alejandro Tosti,1.12,222,198
157,4,32102,Rickie Fowler,1.10,241,220
157,4,34466,Peter Malnati,1.10,238,216
159,4,31323,Gary Woodland,1.03,236,230
160,4,48699,Callum Tarren,0.99,188,190
161,5,48119,Ben Taylor,0.96,157,164
162,5,28420,Ryan Brehm,0.92,152,165
162,5,27649,Brandt Snedeker,0.92,160,173
164,5,51070,Vincent Norrman,0.89,149,168
