TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,SCORE,TOTAL_SCORE
2019 3M Open,2019-07-05,2,275.0,73.2,0.039,6.7,7,TPC Twin Cities,"Blaine, MN",Robert Streb,71,7468,70,272
2019 3M Open,2019-07-06,3,275.0,71.6,0.043,9.5,21,TPC Twin Cities,"Blaine, MN",Robert Streb,71,7468,67,272
2019 3M Open,2019-07-07,4,275.0,72.3,0.004,6.3,42,TPC Twin Cities,"Blaine, MN",Robert Streb,71,7468,67,272
2019 3M Open,2019-07-04,1,275.0,75.4,0.472,8.2,159,TPC Twin Cities,"Blaine, MN",Beau Hossler,71,7468,68,272
2019 3M Open,2019-07-05,2,275.0,73.2,0.039,6.7,7,TPC Twin Cities,"Blaine, MN",Beau Hossler,71,7468,71,272
2019 3M Open,2019-07-06,3,275.0,71.6,0.043,9.5,21,TPC Twin Cities,"Blaine, MN",Beau Hossler,71,7468,65,272
2019 3M Open,2019-07-07,4,275.0,72.3,0.004,6.3,42,TPC Twin Cities,"Blaine, MN",Beau Hossler,71,7468,68,272
2019 3M Open,2019-07-04,1,275.0,75.4,0.472,8.2,159,TPC Twin Cities,"Blaine, MN",Bronson Burgoon,71,7468,73,272
2019 3M Open,2019-07-05,2,275.0,73.2,0.039,6.7,7,TPC Twin Cities,"Blaine, MN",Bronson Burgoon,71,7468,64,272
2019 3M Open,2019-07-06,3,275.0,71.6,0.043,9.5,21,TPC Twin Cities,"Blaine, MN",Bronson Burgoon,71,7468,67,272
2019 3M Open,2019-07-07,4,275.0,72.3,0.004,6.3,42,TPC Twin Cities,"Blaine, MN",Bronson Burgoon,71,7468,68,272
2019 3M Open,2019-07-04,1,275.0,75.4,0.472,8.2,159,TPC Twin Cities,"Blaine, MN",Hank Lebioda,71,7468,69,272
2019 3M Open,2019-07-05,2,275.0,73.2,0.039,6.7,7,TPC Twin Cities,"Blaine, MN",Hank Lebioda,71,7468,68,272
2019 3M Open,2019-07-06,3,275.0,71.6,0.043,9.5,21,TPC Twin Cities,"Blaine, MN",Hank Lebioda,71,7468,67,272
2019 3M Open,2019-07-07,4,275.0,72.3,0.004,6.3,42,TPC Twin Cities,"Blaine, MN",Hank Lebioda,71,7468,68,272
2019 3M Open,2019-07-04,1,275.0,75.4,0.472,8.2,159,TPC Twin Cities,"Blaine, MN",Kevin Streelman,71,7468,68,272
2019 3M Open,2019-07-05,2,275.0,73.2,0.039,6.7,7,TPC Twin Cities,"Blaine, MN",Kevin Streelman,71,7468,65,272
2019 3M Open,2019-07-06,3,275.0,71.6,0.043,9.5,21,TPC Twin Cities,"Blaine, MN",Kevin Streelman,71,7468,69,272
2019 3M Open,2019-07-07,4,275.0,72.3,0.004,6.3,42,TPC Twin Cities,"Blaine, MN",Kevin Streelman,71,7468,70,272
2019 3M Open,2019-07-04,1,275.0,75.4,0.472,8.2,159,TPC Twin Cities,"Blaine, MN",Martin Laird,71,7468,70,273
2019 3M Open,2019-07-05,2,275.0,73.2,0.039,6.7,7,TPC Twin Cities,"Blaine, MN",Martin Laird,71,7468,67,273
2019 3M Open,2019-07-06,3,275.0,71.6,0.043,9.5,21,TPC Twin Cities,"Blaine, MN",Martin Laird,71,7468,71,273
2019 3M Open,2019-07-07,4,275.0,72.3,0.004,6.3,42,TPC Twin Cities,"Blaine, MN",Martin Laird,71,7468,65,273
2019 3M Open,2019-07-04,1,275.0,75.4,0.472,8.2,159,TPC Twin Cities,"Blaine, MN",Ryan Armour,71,7468,66,273
2019 3M Open,2019-07-05,2,275.0,73.2,0.039,6.7,7,TPC Twin Cities,"Blaine, MN",Ryan Armour,71,7468,71,273
2019 3M Open,2019-07-06,3,275.0,71.6,0.043,9.5,21,TPC Twin Cities,"Blaine, MN",Ryan Armour,71,7468,69,273
2019 3M Open,2019-07-07,4,275.0,72.3,0.004,6.3,42,TPC Twin Cities,"Blaine, MN",Ryan Armour,71,7468,67,273
2019 3M Open,2019-07-04,1,275.0,75.4,0.472,8.2,159,TPC Twin Cities,"Blaine, MN",Kramer Hickok,71,7468,68,273
2019 3M Open,2019-07-05,2,275.0,73.2,0.039,6.7,7,TPC Twin Cities,"Blaine, MN",Kramer Hickok,71,7468,69,273
2019 3M Open,2019-07-06,3,275.0,71.6,0.043,9.5,21,TPC Twin Cities,"Blaine, MN",Kramer Hickok,71,7468,68,273
2019 3M Open,2019-07-07,4,275.0,72.3,0.004,6.3,42,TPC Twin Cities,"Blaine, MN",Kramer Hickok,71,7468,68,273
2019 3M Open,2019-07-04,1,275.0,75.4,0.472,8.2,159,TPC Twin Cities,"Blaine, MN",Cameron Tringale,71,7468,66,273
2019 3M Open,2019-07-05,2,275.0,73.2,0.039,6.7,7,TPC Twin Cities,"Blaine, MN",Cameron Tringale,71,7468,71,273
2019 3M Open,2019-07-06,3,275.0,71.6,0.043,9.5,21,TPC Twin Cities,"Blaine, MN",Cameron Tringale,71,7468,67,273
2019 3M Open,2019-07-07,4,275.0,72.3,0.004,6.3,42,TPC Twin Cities,"Blaine, MN",Cameron Tringale,71,7468,69,273
2019 3M Open,2019-07-04,1,275.0,75.4,0.472,8.2,159,TPC Twin Cities,"Blaine, MN",Richy Werenski,71,7468,71,274
2019 3M Open,2019-07-05,2,275.0,73.2,0.039,6.7,7,TPC Twin Cities,"Blaine, MN",Richy Werenski,71,7468,67,274
2019 3M Open,2019-07-06,3,275.0,71.6,0.043,9.5,21,TPC Twin Cities,"Blaine, MN",Richy Werenski,71,7468,70,274
2019 3M Open,2019-07-07,4,275.0,72.3,0.004,6.3,42,TPC Twin Cities,"Blaine, MN",Richy Werenski,71,7468,66,274
2019 3M Open,2019-07-04,1,275.0,75.4,0.472,8.2,159,TPC Twin Cities,"Blaine, MN",Keegan Bradley,71,7468,70,274
2019 3M Open,2019-07-05,2,275.0,73.2,0.039,6.7,7,TPC Twin Cities,"Blaine, MN",Keegan Bradley,71,7468,68,274
2019 3M Open,2019-07-06,3,275.0,71.6,0.043,9.5,21,TPC Twin Cities,"Blaine, MN",Keegan Bradley,71,7468,69,274
2019 3M Open,2019-07-07,4,275.0,72.3,0.004,6.3,42,TPC Twin Cities,"Blaine, MN",Keegan Bradley,71,7468,67,274
2019 3M Open,2019-07-04,1,275.0,75.4,0.472,8.2,159,TPC Twin Cities,"Blaine, MN",Peter Malnati,71,7468,67,274
2019 3M Open,2019-07-05,2,275.0,73.2,0.039,6.7,7,TPC Twin Cities,"Blaine, MN",Peter Malnati,71,7468,70,274
2019 3M Open,2019-07-06,3,275.0,71.6,0.043,9.5,21,TPC Twin Cities,"Blaine, MN",Peter Malnati,71,7468,70,274
2019 3M Open,2019-07-07,4,275.0,72.3,0.004,6.3,42,TPC Twin Cities,"Blaine, MN",Peter Malnati,71,7468,67,274
2019 3M Open,2019-07-04,1,275.0,75.4,0.472,8.2,159,TPC Twin Cities,"Blaine, MN",Nick Taylor,71,7468,67,274
2019 3M Open,2019-07-05,2,275.0,73.2,0.039,6.7,7,TPC Twin Cities,"Blaine, MN",Nick Taylor,71,7468,69,274
2019 3M Open,2019-07-06,3,275.0,71.6,0.043,9.5,21,TPC Twin Cities,"Blaine, MN",Nick Taylor,71,7468,70,274
2019 3M Open,2019-07-07,4,275.0,72.3,0.004,6.3,42,TPC Twin Cities,"Blaine, MN",Nick Taylor,71,7468,68,274
2019 3M Open,2019-07-04,1,275.0,75.4,0.472,8.2,159,TPC Twin Cities,"Blaine, MN",Roberto Castro,71,7468,69,274
2019 3M Open,2019-07-05,2,275.0,73.2,0.039,6.7,7,TPC Twin Cities,"Blaine, MN",Roberto Castro,71,7468,69,274
2019 3M Open,2019-07-06,3,275.0,71.6,0.043,9.5,21,TPC Twin Cities,"Blaine, MN",Roberto Castro,71,7468,67,274
2019 3M Open,2019-07-07,4,275.0,72.3,0.004,6.3,42,TPC Twin Cities,"Blaine, MN",Roberto Castro,71,7468,69,274
2019 3M Open,2019-07-04,1,275.0,75.4,0.472,8.2,159,TPC Twin Cities,"Blaine, MN",Corey Conners,71,7468,70,274
2019 3M Open,2019-07-05,2,275.0,73.2,0.039,6.7,7,TPC Twin Cities,"Blaine, MN",Corey Conners,71,7468,64,274
2019 3M Open,2019-07-06,3,275.0,71.6,0.043,9.5,21,TPC Twin Cities,"Blaine, MN",Corey Conners,71,7468,70,274
2019 3M Open,2019-07-07,4,275.0,72.3,0.004,6.3,42,TPC Twin Cities,"Blaine, MN",Corey Conners,71,7468,70,274
2019 3M Open,2019-07-04,1,275.0,75.4,0.472,8.2,159,TPC Twin Cities,"Blaine, MN",Dylan Frittelli,71,7468,66,274
