TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,COURSE_AVERAGE_SCORE,SCORE,TOTAL_SCORE,R1_AVG_SCORE,R2_AVG_SCORE,R3_AVG_SCORE,R4_AVG_SCORE
2018 The Open,2018-07-22,4,15.0,66.6,0.0,16.3,256,Carnoustie Golf Links,"Carnoustie, Scotland",Phil Mickelson,72,7295,,71,283,74.84,75.05,70.23,73.22
2018 The Open,2018-07-19,1,15.0,63.2,0.008,11.9,246,Carnoustie Golf Links,"Carnoustie, Scotland",Danny Willett,72,7295,,69,283,74.84,75.05,70.23,73.22
2018 The Open,2018-07-20,2,15.0,59.9,0.201,7.6,230,Carnoustie Golf Links,"Carnoustie, Scotland",Danny Willett,72,7295,,71,283,74.84,75.05,70.23,73.22
2018 The Open,2018-07-21,3,15.0,63.6,0.008,13.7,246,Carnoustie Golf Links,"Carnoustie, Scotland",Danny Willett,72,7295,,70,283,74.84,75.05,70.23,73.22
2018 The Open,2018-07-22,4,15.0,66.6,0.0,16.3,256,Carnoustie Golf Links,"Carnoustie, Scotland",Danny Willett,72,7295,,73,283,74.84,75.05,70.23,73.22
2018 The Open,2018-07-19,1,15.0,63.2,0.008,11.9,246,Carnoustie Golf Links,"Carnoustie, Scotland",Patrick Reed,72,7295,,75,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-20,2,15.0,59.9,0.201,7.6,230,Carnoustie Golf Links,"Carnoustie, Scotland",Patrick Reed,72,7295,,70,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-21,3,15.0,63.6,0.008,13.7,246,Carnoustie Golf Links,"Carnoustie, Scotland",Patrick Reed,72,7295,,68,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-22,4,15.0,66.6,0.0,16.3,256,Carnoustie Golf Links,"Carnoustie, Scotland",Patrick Reed,72,7295,,71,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-19,1,15.0,63.2,0.008,11.9,246,Carnoustie Golf Links,"Carnoustie, Scotland",Thomas Pieters,72,7295,,70,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-20,2,15.0,59.9,0.201,7.6,230,Carnoustie Golf Links,"Carnoustie, Scotland",Thomas Pieters,72,7295,,73,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-21,3,15.0,63.6,0.008,13.7,246,Carnoustie Golf Links,"Carnoustie, Scotland",Thomas Pieters,72,7295,,70,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-22,4,15.0,66.6,0.0,16.3,256,Carnoustie Golf Links,"Carnoustie, Scotland",Thomas Pieters,72,7295,,71,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-19,1,15.0,63.2,0.008,11.9,246,Carnoustie Golf Links,"Carnoustie, Scotland",Julian Suri,72,7295,,74,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-20,2,15.0,59.9,0.201,7.6,230,Carnoustie Golf Links,"Carnoustie, Scotland",Julian Suri,72,7295,,69,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-21,3,15.0,63.6,0.008,13.7,246,Carnoustie Golf Links,"Carnoustie, Scotland",Julian Suri,72,7295,,70,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-22,4,15.0,66.6,0.0,16.3,256,Carnoustie Golf Links,"Carnoustie, Scotland",Julian Suri,72,7295,,71,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-19,1,15.0,63.2,0.008,11.9,246,Carnoustie Golf Links,"Carnoustie, Scotland",Rickie Fowler,72,7295,,70,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-20,2,15.0,59.9,0.201,7.6,230,Carnoustie Golf Links,"Carnoustie, Scotland",Rickie Fowler,72,7295,,69,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-21,3,15.0,63.6,0.008,13.7,246,Carnoustie Golf Links,"Carnoustie, Scotland",Rickie Fowler,72,7295,,73,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-22,4,15.0,66.6,0.0,16.3,256,Carnoustie Golf Links,"Carnoustie, Scotland",Rickie Fowler,72,7295,,72,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-19,1,15.0,63.2,0.008,11.9,246,Carnoustie Golf Links,"Carnoustie, Scotland",Louis Oosthuizen,72,7295,,72,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-20,2,15.0,59.9,0.201,7.6,230,Carnoustie Golf Links,"Carnoustie, Scotland",Louis Oosthuizen,72,7295,,70,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-21,3,15.0,63.6,0.008,13.7,246,Carnoustie Golf Links,"Carnoustie, Scotland",Louis Oosthuizen,72,7295,,69,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-22,4,15.0,66.6,0.0,16.3,256,Carnoustie Golf Links,"Carnoustie, Scotland",Louis Oosthuizen,72,7295,,73,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-19,1,15.0,63.2,0.008,11.9,246,Carnoustie Golf Links,"Carnoustie, Scotland",Chris Wood,72,7295,,70,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-20,2,15.0,59.9,0.201,7.6,230,Carnoustie Golf Links,"Carnoustie, Scotland",Chris Wood,72,7295,,74,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-21,3,15.0,63.6,0.008,13.7,246,Carnoustie Golf Links,"Carnoustie, Scotland",Chris Wood,72,7295,,66,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-22,4,15.0,66.6,0.0,16.3,256,Carnoustie Golf Links,"Carnoustie, Scotland",Chris Wood,72,7295,,74,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-19,1,15.0,63.2,0.008,11.9,246,Carnoustie Golf Links,"Carnoustie, Scotland",Austin Cook,72,7295,,72,284,74.84,75.05,70.23,73.22
2018 The Open,2018-07-20,2,15.0,59.9,0.201,7.6,230,Carnoustie Golf Links,"Carnoustie, Scotland",Austin Cook,72,7295,,70,284,74.84,75.05,70.23,73.22
