TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,SCORE,TOTAL_SCORE
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Jon Rahm,71,7322,71,277
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Luke List,71,7322,71,278
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Luke List,71,7322,66,278
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Luke List,71,7322,73,278
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Luke List,71,7322,68,278
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Xander Schauffele,71,7322,74,278
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Xander Schauffele,71,7322,68,278
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Xander Schauffele,71,7322,67,278
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Xander Schauffele,71,7322,69,278
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Patrick Cantlay,71,7322,68,278
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Patrick Cantlay,71,7322,71,278
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Patrick Cantlay,71,7322,70,278
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Patrick Cantlay,71,7322,69,278
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Bryson DeChambeau,71,7322,70,278
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Bryson DeChambeau,71,7322,68,278
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Bryson DeChambeau,71,7322,69,278
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Bryson DeChambeau,71,7322,71,278
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Beau Hossler,71,7322,68,278
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Beau Hossler,71,7322,69,278
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Beau Hossler,71,7322,70,278
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Beau Hossler,71,7322,71,278
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Tiger Woods,71,7322,70,278
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Tiger Woods,71,7322,71,278
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Tiger Woods,71,7322,65,278
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Tiger Woods,71,7322,72,278
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Tony Finau,71,7322,66,278
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Tony Finau,71,7322,68,278
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Tony Finau,71,7322,72,278
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Tony Finau,71,7322,72,278
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Patrick Rodgers,71,7322,66,278
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Patrick Rodgers,71,7322,67,278
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Patrick Rodgers,71,7322,73,278
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Patrick Rodgers,71,7322,72,278
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Jonas Blixt,71,7322,71,278
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Jonas Blixt,71,7322,68,278
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Jonas Blixt,71,7322,66,278
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Jonas Blixt,71,7322,73,278
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Bubba Watson,71,7322,70,278
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Bubba Watson,71,7322,66,278
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",Bubba Watson,71,7322,69,278
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",Bubba Watson,71,7322,73,278
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",K.H. Lee,71,7322,72,279
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",K.H. Lee,71,7322,69,279
2019 Genesis Open,2019-02-16,3,106.0,50.0,0.083,9.6,278,Riviera Country Club,"Pacific Palisades, CA",K.H. Lee,71,7322,68,279
2019 Genesis Open,2019-02-17,4,106.0,49.1,0.008,14.3,274,Riviera Country Club,"Pacific Palisades, CA",K.H. Lee,71,7322,70,279
2019 Genesis Open,2019-02-14,1,106.0,53.7,1.602,17.5,119,Riviera Country Club,"Pacific Palisades, CA",Rafa Cabrera Bello,71,7322,68,279
2019 Genesis Open,2019-02-15,2,106.0,51.1,0.055,10.5,250,Riviera Country Club,"Pacific Palisades, CA",Rafa Cabrera Bello,71,7322,71,279
