TOURNAMENT_NAME,ROUND_DATE,ROUND_NUMBER,ELEVATION,TEMPERATURE,PRECIPITATION,WIND_SPEED,WIND_DIRECTION,COURSE_NAME,COURSE_LOCATION,PLAYER_NAME,PAR,LENGTH,COURSE_AVERAGE_SCORE,SCORE,TOTAL_SCORE,R1_AVG_SCORE,R2_AVG_SCORE,R3_AVG_SCORE,R4_AVG_SCORE
2023 U.S. Open,2023-06-16,2,96.0,66.5,0.0,11.9,238,Los Angeles Country Club,"Los Angeles, CA",Bryson DeChambeau,70,7421,,72,281,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-17,3,96.0,67.0,0.0,12.1,221,Los Angeles Country Club,"Los Angeles, CA",Bryson DeChambeau,70,7421,,68,281,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-18,4,96.0,66.8,0.0,11.1,196,Los Angeles Country Club,"Los Angeles, CA",Bryson DeChambeau,70,7421,,74,281,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-15,1,96.0,64.2,0.016,8.6,197,Los Angeles Country Club,"Los Angeles, CA",Ryutaro Nagano,70,7421,,71,281,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-16,2,96.0,66.5,0.0,11.9,238,Los Angeles Country Club,"Los Angeles, CA",Ryutaro Nagano,70,7421,,67,281,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-17,3,96.0,67.0,0.0,12.1,221,Los Angeles Country Club,"Los Angeles, CA",Ryutaro Nagano,70,7421,,68,281,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-18,4,96.0,66.8,0.0,11.1,196,Los Angeles Country Club,"Los Angeles, CA",Ryutaro Nagano,70,7421,,75,281,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-15,1,96.0,64.2,0.016,8.6,197,Los Angeles Country Club,"Los Angeles, CA",Sahith Theegala,70,7421,,74,282,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-16,2,96.0,66.5,0.0,11.9,238,Los Angeles Country Club,"Los Angeles, CA",Sahith Theegala,70,7421,,66,282,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-17,3,96.0,67.0,0.0,12.1,221,Los Angeles Country Club,"Los Angeles, CA",Sahith Theegala,70,7421,,73,282,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-18,4,96.0,66.8,0.0,11.1,196,Los Angeles Country Club,"Los Angeles, CA",Sahith Theegala,70,7421,,69,282,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-15,1,96.0,64.2,0.016,8.6,197,Los Angeles Country Club,"Los Angeles, CA",Sergio Garcia,70,7421,,70,282,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-16,2,96.0,66.5,0.0,11.9,238,Los Angeles Country Club,"Los Angeles, CA",Sergio Garcia,70,7421,,71,282,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-17,3,96.0,67.0,0.0,12.1,221,Los Angeles Country Club,"Los Angeles, CA",Sergio Garcia,70,7421,,71,282,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-18,4,96.0,66.8,0.0,11.1,196,Los Angeles Country Club,"Los Angeles, CA",Sergio Garcia,70,7421,,70,282,72.76,73.98,71.85,71.6
2023 U.S. Open,2023-06-15,1,96.0,64.2,0.016,8.6,197,Los Angeles Country Club,"Los Angeles, CA",Tyrrell Hatton,70,7421,,74,282,72.76,73.98,71.85,71.6
