PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,GIR_PERCENTAGE,BIRDIE_TO_BOGEY_RATIO,AVG_TOTAL_DRIVING_DISTANCE,FIR_PERCENTAGE,SCORING_AVERAGE,SCRAMBLING_PERCENTAGE,AVG_THREE_PUTTS_PER_ROUND,AVG_PUTTS_PER_ROUND
46046,Scottie Scheffler,2024 The Sentry,74.43%,2.36,310.3,62.09%,68.26,64.94%,0.35,29.09
58696,Peter Kuest,2024 The Sentry,73.79%,2.07,321.7,61.27%,69.07,61.75%,0.54,29.17
52955,Ludvig Åberg,2024 The Sentry,73.33%,2.27,317.1,65.47%,68.32,60.83%,0.36,28.7
45242,Kevin Yu,2024 The Sentry,72.61%,1.58,311.3,61.50%,69.59,54.00%,0.65,29.82
33122,Russell Knox,2024 The Sentry,71.69%,1.4,285.3,62.70%,70.4,58.00%,0.5,30.03
52375,Doug Ghim,2024 The Sentry,71.51%,1.67,297.7,67.85%,69.86,63.52%,0.57,29.58
50525,Collin Morikawa,2024 The Sentry,70.99%,1.71,296.2,68.03%,69.23,59.81%,0.49,29.01
56762,Will Gordon,2024 The Sentry,70.82%,1.41,311.4,61.57%,70.14,52.14%,0.51,29.64
45609,Tyler Duncan,2024 The Sentry,70.80%,1.45,298.8,67.43%,70.07,57.09%,0.59,29.5
27129,Luke List,2024 The Sentry,70.78%,1.43,311.3,54.47%,70.17,55.13%,0.59,29.71
56630,Akshay Bhatia,2024 The Sentry,70.63%,1.7,304.9,63.93%,69.48,59.01%,0.56,29.27
39324,J.J. Spaun,2024 The Sentry,70.53%,1.71,298.8,63.69%,69.58,65.99%,0.54,29.24
29908,C.T. Pan,2024 The Sentry,70.51%,1.44,296.6,61.45%,69.74,59.51%,0.59,29.44
25900,Lucas Glover,2024 The Sentry,70.50%,1.64,294.9,68.86%,69.89,62.71%,0.67,29.18
46970,Jon Rahm,2024 The Sentry,70.50%,1.89,314.0,57.68%,68.82,61.54%,0.51,28.54
36799,Stephan Jaeger,2024 The Sentry,70.49%,1.75,306.1,57.86%,69.36,62.35%,0.48,29.09
29535,Brice Garnett,2024 The Sentry,70.48%,1.47,288.7,64.61%,70.42,59.08%,0.48,29.4
54783,Dylan Wu,2024 The Sentry,70.39%,1.59,298.2,60.45%,69.82,59.65%,0.49,29.32
39997,Corey Conners,2024 The Sentry,70.22%,1.52,300.6,61.40%,69.72,57.48%,0.45,29.42
53165,Doc Redman,2024 The Sentry,69.94%,1.21,293.5,62.21%,70.69,53.32%,0.69,29.82
35450,Patrick Cantlay,2024 The Sentry,69.75%,1.99,308.6,65.51%,68.83,63.27%,0.39,28.46
28775,Nate Lashley,2024 The Sentry,69.73%,1.63,297.4,60.72%,69.82,58.49%,0.33,29.1
34256,Andrew Putnam,2024 The Sentry,69.72%,1.64,284.7,64.45%,69.6,64.46%,0.37,29.05
49453,Trevor Cone,2024 The Sentry,69.65%,1.27,314.0,53.63%,70.95,55.58%,0.77,29.96
27936,Martin Laird,2024 The Sentry,69.63%,1.42,292.4,65.79%,70.36,58.63%,0.65,29.57
46414,Aaron Rai,2024 The Sentry,69.63%,1.49,294.1,68.72%,69.76,60.28%,0.51,29.29
52513,Carson Young,2024 The Sentry,69.58%,1.44,295.6,65.58%,70.19,57.56%,0.42,29.22
40250,Taylor Pendrith,2024 The Sentry,69.53%,1.47,310.4,55.62%,70.35,58.01%,0.37,29.55
34098,Russell Henley,2024 The Sentry,69.51%,1.72,290.9,72.57%,69.31,63.99%,0.43,28.81
55182,Tom Kim,2024 The Sentry,69.51%,1.79,297.6,67.49%,69.17,61.54%,0.42,28.7
36871,Matt NeSmith,2024 The Sentry,69.47%,1.3,297.1,62.27%,70.25,57.17%,0.58,29.65
26596,Ryan Moore,2024 The Sentry,69.41%,1.72,287.0,70.15%,69.82,63.89%,0.37,28.83
22056,Cameron Percy,2024 The Sentry,69.40%,1.4,289.3,63.45%,70.49,63.14%,0.61,29.58
58168,Davis Thompson,2024 The Sentry,69.39%,1.54,310.3,60.39%,69.99,58.60%,0.44,29.1
46340,Alex Smalley,2024 The Sentry,69.35%,1.54,303.0,58.84%,69.9,61.81%,0.52,29.32
52372,Cameron Champ,2024 The Sentry,69.30%,1.28,317.9,59.93%,70.64,52.90%,0.56,29.92
34563,Chesson Hadley,2024 The Sentry,69.27%,1.66,299.3,58.25%,69.87,60.19%,0.45,28.99
51890,Greyson Sigg,2024 The Sentry,69.26%,1.58,295.8,61.43%,69.79,61.79%,0.35,29.07
32816,Satoshi Kodaira,2024 The Sentry,69.14%,1.55,287.1,71.00%,70.14,65.43%,0.79,29.03
29725,Tony Finau,2024 The Sentry,69.11%,1.62,304.2,60.70%,69.52,61.24%,0.56,29.14
47988,Nick Hardy,2024 The Sentry,69.11%,1.47,309.2,57.28%,69.96,57.32%,0.45,29.1
30163,Henrik Norlander,2024 The Sentry,69.11%,1.4,292.3,62.10%,70.48,62.85%,0.54,29.59
19803,Ryan Armour,2024 The Sentry,69.08%,1.29,283.6,71.10%,70.67,56.64%,0.42,29.52
51070,Vincent Norrman,2024 The Sentry,69.02%,1.46,314.2,57.85%,69.96,57.59%,0.62,29.39
57366,Cameron Young,2024 The Sentry,68.99%,1.59,315.7,59.05%,69.86,57.29%,0.48,29.1
52453,Nicolai Hojgaard,2024 The Sentry,68.96%,1.48,317.7,50.16%,69.8,53.31%,0.33,28.7
49771,J.T. Poston,2024 The Sentry,68.83%,1.54,297.0,60.47%,69.63,58.65%,0.39,28.78
27963,Chris Stroud,2024 The Sentry,68.71%,1.39,289.2,60.25%,70.49,62.31%,0.54,29.3
31577,Tano Goya,2024 The Sentry,68.70%,1.56,303.1,61.55%,70.14,61.34%,0.72,29.28
