RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,46501,Ollie Schniederjans,320.1,2561,8
2,0,31323,Gary Woodland,308.9,2471,8
3,0,30925,Dustin Johnson,306.8,2454,8
4,-1,27129,Luke List,305.8,2446,8
5,-4,28237,Rory McIlroy,305.0,2440,8
6,-4,33948,Byeong Hun An,303.8,2430,8
7,0,39546,Keith Mitchell,303.1,2425,8
8,0,25804,Bubba Watson,302.8,2422,8
9,0,46970,Jon Rahm,302.4,2419,8
10,0,36689,Brooks Koepka,299.9,2399,8
11,6,25632,Jimmy Walker,297.1,2377,8
12,-3,30944,Jason Kokrak,297.0,2376,8
13,0,28089,Jason Day,296.8,2374,8
14,26,32102,Rickie Fowler,296.4,2371,8
15,0,29725,Tony Finau,296.0,2368,8
16,-1,48887,Matt Wallace,295.4,2363,8
17,16,47959,Bryson DeChambeau,295.0,2360,8
18,0,33448,Justin Thomas,294.6,2357,8
19,4,33141,Keegan Bradley,294.5,2356,8
20,0,29974,Branden Grace,294.1,2353,8
21,0,33803,Lucas Bjerregaard,293.9,2351,8
21,0,39997,Corey Conners,293.9,2351,8
23,0,28252,Seamus Power,293.6,2349,8
24,0,21209,Sergio Garcia,293.5,2348,8
25,0,24502,Adam Scott,293.4,2347,8
26,-8,35617,Martin Trainer,291.8,2334,8
27,4,32839,Hideki Matsuyama,291.6,2333,8
28,0,40026,Daniel Berger,291.1,2329,8
29,0,08793,Tiger Woods,291.0,2328,8
30,-18,30911,Tommy Fleetwood,290.6,2325,8
31,-21,22405,Justin Rose,289.4,2315,8
32,0,45526,Abraham Ancer,289.3,2314,8
33,-7,27974,Sung Kang,289.0,2312,8
34,-3,34360,Patrick Reed,288.8,2310,8
35,3,49771,J.T. Poston,288.5,2308,8
36,-20,21961,Charles Howell III,288.3,2306,8
37,20,29420,Billy Horschel,287.9,2303,8
38,0,33968,Thorbjørn Olesen,287.6,2301,8
39,-3,25198,Francesco Molinari,287.5,2300,8
40,0,27644,Brian Harman,287.4,2299,8
41,0,47993,Denny McCarthy,287.0,2296,8
41,-36,27064,Jhonattan Vegas,287.0,2296,8
43,0,35891,Cameron Smith,286.6,2293,8
44,0,26329,Louis Oosthuizen,285.6,2285,8
45,-18,27408,Martin Kaymer,285.5,2284,8
46,0,34021,Bud Cauley,285.3,2282,8
46,0,33122,Russell Knox,285.3,2282,8
48,-5,25818,Scott Piercy,283.9,2271,8
49,9,30926,Chris Kirk,283.5,2268,8
50,0,32150,Michael Thompson,283.3,2266,8
51,15,27649,Brandt Snedeker,282.8,2262,8
52,0,31646,Emiliano Grillo,282.4,2259,8
53,0,35532,Tom Hoge,282.0,2256,8
54,-4,24138,Ian Poulter,281.9,2255,8
55,0,25493,Nick Taylor,281.4,2251,8
55,0,47128,Richy Werenski,281.4,2251,8
57,0,37455,Si Woo Kim,281.3,2250,8
58,0,29908,C.T. Pan,280.3,2242,8
59,0,29221,Webb Simpson,279.8,2238,8
60,-5,40098,Matt Fitzpatrick,279.6,2237,8
61,0,34076,Joel Dahmen,279.4,2235,8
62,0,29535,Brice Garnett,279.3,2234,8
63,-2,29478,Kevin Kisner,278.8,2230,8
64,0,23108,Matt Kuchar,278.1,2225,8
64,0,23621,Rory Sabbatini,278.1,2225,8
66,0,33410,Andrew Landry,276.5,2212,8
67,0,35879,Kelly Kraft,276.1,2209,8
68,-8,26596,Ryan Moore,275.4,2203,8
69,-2,34709,Eddie Pepperell,272.4,2179,8
70,0,23325,Vaughn Taylor,271.9,2175,8
71,0,10809,Jim Furyk,271.3,2170,8
71,0,34261,Scott Langley,271.3,2170,8
73,0,19846,Brian Gay,244.6,1957,8
