RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,32,48887,Matt Wallace,85.71,18,21
2,36,32839,Hideki Matsuyama,77.27,17,22
3,64,22405,Justin Rose,76.92,20,26
3,0,31323,Gary Woodland,76.92,20,26
5,0,29221,Webb Simpson,76.00,19,25
6,0,35891,Cameron Smith,75.86,22,29
7,0,24502,Adam Scott,72.73,16,22
8,0,34076,Joel Dahmen,71.43,15,21
8,46,49771,J.T. Poston,71.43,15,21
10,54,34709,Eddie Pepperell,70.83,17,24
11,14,33141,Keegan Bradley,70.59,12,17
12,0,10809,Jim Furyk,69.57,16,23
13,0,23108,Matt Kuchar,69.23,9,13
14,13,35617,Martin Trainer,68.97,20,29
15,0,27644,Brian Harman,68.42,13,19
16,0,33803,Lucas Bjerregaard,68.00,17,25
16,0,29725,Tony Finau,68.00,17,25
16,0,33410,Andrew Landry,68.00,17,25
19,44,29420,Billy Horschel,66.67,16,24
19,11,27064,Jhonattan Vegas,66.67,12,18
21,0,29535,Brice Garnett,65.52,19,29
22,0,23325,Vaughn Taylor,65.38,17,26
23,0,26329,Louis Oosthuizen,65.22,15,23
24,0,28089,Jason Day,65.00,13,20
25,27,34360,Patrick Reed,62.96,17,27
26,0,31646,Emiliano Grillo,62.50,15,24
26,0,35532,Tom Hoge,62.50,15,24
26,0,47993,Denny McCarthy,62.50,15,24
26,8,26596,Ryan Moore,62.50,15,24
30,-23,30911,Tommy Fleetwood,61.90,13,21
31,-9,33948,Byeong Hun An,61.54,16,26
32,0,19846,Brian Gay,61.29,19,31
32,0,34261,Scott Langley,61.29,19,31
34,0,34021,Bud Cauley,60.87,14,23
34,32,25818,Scott Piercy,60.87,14,23
36,0,46501,Ollie Schniederjans,60.00,12,20
37,0,30925,Dustin Johnson,58.82,10,17
38,0,36689,Brooks Koepka,58.06,18,31
39,0,39546,Keith Mitchell,57.69,15,26
40,0,45526,Abraham Ancer,57.14,12,21
40,22,28237,Rory McIlroy,57.14,8,14
40,0,25493,Nick Taylor,57.14,8,14
43,-2,47959,Bryson DeChambeau,56.52,13,23
43,-38,25198,Francesco Molinari,56.52,13,23
43,0,23621,Rory Sabbatini,56.52,13,23
46,0,40026,Daniel Berger,56.00,14,25
46,0,37455,Si Woo Kim,56.00,14,25
48,0,32150,Michael Thompson,55.17,16,29
49,-48,30944,Jason Kokrak,55.00,11,20
49,0,33968,Thorbjørn Olesen,55.00,11,20
49,0,08793,Tiger Woods,55.00,11,20
52,0,21209,Sergio Garcia,54.55,12,22
53,0,33122,Russell Knox,52.38,11,21
54,0,28252,Seamus Power,52.17,12,23
55,-8,25632,Jimmy Walker,51.72,15,29
56,0,39997,Corey Conners,50.00,8,16
56,0,29974,Branden Grace,50.00,16,32
56,-35,27408,Martin Kaymer,50.00,12,24
56,0,29908,C.T. Pan,50.00,10,20
56,-52,24138,Ian Poulter,50.00,12,24
56,0,46970,Jon Rahm,50.00,10,20
56,0,47128,Richy Werenski,50.00,12,24
63,1,32102,Rickie Fowler,47.62,10,21
63,-39,21961,Charles Howell III,47.62,10,21
65,-63,40098,Matt Fitzpatrick,45.83,11,24
66,0,35879,Kelly Kraft,44.44,8,18
66,0,33448,Justin Thomas,44.44,12,27
68,-22,25804,Bubba Watson,43.48,10,23
69,-2,27129,Luke List,42.86,9,21
70,-28,30926,Chris Kirk,40.00,8,20
71,-11,27649,Brandt Snedeker,38.46,5,13
72,-55,29478,Kevin Kisner,33.33,6,18
73,-63,27974,Sung Kang,31.82,7,22
