RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,0,50525,Collin Morikawa,27.73,2080,75,21
2,0,22371,Aaron Baddeley,27.77,1583,57,24
3,0,47504,Sam Burns,27.78,2028,73,21
3,0,47993,Denny McCarthy,27.78,2306,83,21
5,0,45522,Christiaan Bezuidenhout,27.86,2117,76,20
6,0,35506,Mackenzie Hughes,27.88,2314,83,21
6,0,50188,S.H. Kim,27.88,2258,81,21
8,0,34098,Russell Henley,27.90,2037,73,21
9,0,28089,Jason Day,27.91,1926,69,22
10,0,57975,Harry Hall,28.00,1792,64,20
11,0,35450,Patrick Cantlay,28.03,1822,65,22
12,0,46442,Maverick McNealy,28.04,2047,73,22
13,0,57900,Chandler Phillips,28.05,1767,63,24
14,0,33653,Thomas Detry,28.07,1881,67,23
15,0,47591,Eric Cole,28.13,2616,93,21
16,0,51766,Wyndham Clark,28.15,1886,67,23
17,0,39971,Sungjae Im,28.20,2341,83,22
18,0,46441,Robby Shelton,28.22,1637,58,23
19,0,48081,Xander Schauffele,28.23,2117,75,23
20,0,40250,Taylor Pendrith,28.29,2037,72,23
21,0,30927,Brendon Todd,28.31,2463,87,20
22,0,46046,Scottie Scheffler,28.32,2011,71,24
23,0,40098,Matt Fitzpatrick,28.34,2012,71,23
24,0,37455,Si Woo Kim,28.37,2355,83,24
25,0,52514,Trace Crowe,28.38,1334,47,23
26,0,28237,Rory McIlroy,28.39,1959,69,23
27,0,32839,Hideki Matsuyama,28.41,1989,70,22
28,0,29420,Billy Horschel,28.43,2161,76,23
29,0,34099,Harris English,28.44,2133,75,23
30,0,24502,Adam Scott,28.45,2020,71,24
31,0,27644,Brian Harman,28.48,2364,83,22
32,0,33448,Justin Thomas,28.49,1795,63,23
33,0,52215,Robert MacIntyre,28.51,2053,72,22
34,0,56630,Akshay Bhatia,28.53,2454,86,21
35,0,22405,Justin Rose,28.54,1741,61,21
36,0,51977,Max Greyserman,28.55,1970,69,23
37,0,51894,Vince Whaley,28.56,1371,48,20
38,0,52955,Ludvig Åberg,28.58,2029,71,23
38,0,33399,Adam Hadwin,28.58,2086,73,23
38,0,35532,Tom Hoge,28.58,2601,91,22
38,0,46717,Viktor Hovland,28.58,1629,57,21
38,0,49771,J.T. Poston,28.58,2201,77,21
43,0,34046,Jordan Spieth,28.61,2003,70,23
44,0,45157,Cam Davis,28.63,2147,75,23
44,0,23108,Matt Kuchar,28.63,1632,57,23
