PLAYER_ID,PLAYER_NAME,TOURNAMENT_NAME,GIR_PERCENTAGE,BIRDIE_TO_BOGEY_RATIO,AVG_TOTAL_DRIVING_DISTANCE,FIR_PERCENTAGE,SCORING_AVERAGE,SCRAMBLING_PERCENTAGE,AVG_THREE_PUTTS_PER_ROUND,AVG_PUTTS_PER_ROUND
35532,Tom Hoge,2024 Presidents Cup,67.28%,1.61,296.2,60.06%,69.78,58.96%,0.44,28.58
29908,C.T. Pan,2024 Presidents Cup,67.14%,1.4,293.3,63.30%,70.26,61.51%,0.4,29.21
60067,Joe Highsmith,2024 Presidents Cup,67.11%,1.46,303.8,58.09%,70.35,55.07%,0.54,29.3
28252,Seamus Power,2024 Presidents Cup,67.10%,1.47,298.7,63.59%,69.96,63.60%,0.45,28.95
33141,Keegan Bradley,2024 Presidents Cup,67.09%,1.39,305.5,62.55%,70.29,56.41%,0.37,28.99
52372,Cameron Champ,2024 Presidents Cup,67.05%,1.3,321.0,57.28%,70.32,57.85%,0.48,29.48
28775,Nate Lashley,2024 Presidents Cup,67.00%,1.43,291.3,66.14%,70.19,63.30%,0.64,29.02
33204,Shane Lowry,2024 Presidents Cup,66.98%,1.44,300.4,66.02%,70.03,58.65%,0.46,29.01
27936,Martin Laird,2024 Presidents Cup,66.88%,1.46,289.4,58.98%,70.38,62.26%,0.5,28.9
24024,Zach Johnson,2024 Presidents Cup,66.79%,1.47,284.3,65.96%,69.88,61.22%,0.55,28.98
27214,Kevin Streelman,2024 Presidents Cup,66.78%,1.32,294.8,60.28%,70.52,55.74%,0.43,29.35
25900,Lucas Glover,2024 Presidents Cup,66.59%,1.32,287.6,67.94%,70.49,56.26%,0.4,28.96
32839,Hideki Matsuyama,2024 Presidents Cup,66.59%,1.7,299.8,59.67%,69.63,67.93%,0.5,28.41
59095,Chris Gotterup,2024 Presidents Cup,66.58%,1.43,313.9,49.35%,70.16,59.67%,0.51,29.0
48117,Kurt Kitayama,2024 Presidents Cup,66.50%,1.42,305.9,58.99%,70.0,61.63%,0.43,29.01
27129,Luke List,2024 Presidents Cup,66.47%,1.24,301.9,55.89%,70.74,56.10%,0.53,29.53
29420,Billy Horschel,2024 Presidents Cup,66.45%,1.62,299.4,63.76%,69.49,63.62%,0.41,28.43
36801,Mark Hubbard,2024 Presidents Cup,66.38%,1.53,293.9,67.04%,69.77,60.52%,0.42,28.71
32367,Jorge Campillo,2024 Presidents Cup,66.35%,1.37,296.7,61.76%,69.92,61.27%,0.65,29.0
24502,Adam Scott,2024 Presidents Cup,66.35%,1.57,307.1,58.28%,69.63,62.09%,0.34,28.45
52374,Brandon Wu,2024 Presidents Cup,66.30%,1.32,294.1,61.32%,70.47,57.84%,0.54,29.2
40115,Adam Svensson,2024 Presidents Cup,66.28%,1.29,297.4,63.51%,70.38,61.55%,0.52,29.17
40250,Taylor Pendrith,2024 Presidents Cup,66.20%,1.59,312.5,56.40%,69.65,59.36%,0.36,28.29
57366,Cameron Young,2024 Presidents Cup,66.19%,1.38,308.9,59.61%,70.42,59.03%,0.6,28.73
50493,Justin Suh,2024 Presidents Cup,66.17%,1.31,300.6,61.08%,70.51,53.96%,0.54,29.18
34563,Chesson Hadley,2024 Presidents Cup,66.13%,1.39,303.1,56.11%,70.2,58.68%,0.44,29.13
59442,Parker Coody,2024 Presidents Cup,66.06%,1.35,303.9,53.29%,70.41,61.90%,0.4,29.11
56630,Akshay Bhatia,2024 Presidents Cup,66.02%,1.52,299.8,65.50%,69.94,61.79%,0.38,28.53
55182,Tom Kim,2024 Presidents Cup,66.02%,1.41,298.7,65.31%,70.1,57.96%,0.51,28.78
47983,Chad Ramey,2024 Presidents Cup,66.02%,1.33,293.0,62.77%,70.35,59.40%,0.58,28.9
52215,Robert MacIntyre,2024 Presidents Cup,65.97%,1.63,304.9,56.64%,69.39,64.85%,0.31,28.51
48153,Matthieu Pavon,2024 Presidents Cup,65.96%,1.32,300.9,63.18%,70.54,58.55%,0.54,29.13
12716,Charley Hoffman,2024 Presidents Cup,65.87%,1.46,303.4,56.06%,70.05,58.72%,0.5,28.84
34046,Jordan Spieth,2024 Presidents Cup,65.87%,1.32,306.9,62.45%,70.34,53.95%,0.36,28.61
46442,Maverick McNealy,2024 Presidents Cup,65.83%,1.72,303.8,59.96%,69.41,64.59%,0.3,28.04
54421,Garrick Higgo,2024 Presidents Cup,65.82%,1.33,308.5,53.91%,70.53,57.85%,0.31,29.03
55708,Hayden Buckley,2024 Presidents Cup,65.79%,1.24,296.4,65.40%,70.82,58.69%,0.54,29.09
32791,K.H. Lee,2024 Presidents Cup,65.77%,1.41,301.6,63.00%,69.98,60.58%,0.52,28.91
52666,Sami Valimaki,2024 Presidents Cup,65.74%,1.31,298.3,62.54%,70.37,57.77%,0.6,28.96
46113,Ryan McCormick,2024 Presidents Cup,65.70%,1.27,306.6,50.47%,71.02,55.63%,0.5,29.04
28237,Rory McIlroy,2024 Presidents Cup,65.70%,1.69,320.2,60.29%,69.74,64.08%,0.42,28.39
32640,Troy Merritt,2024 Presidents Cup,65.65%,1.49,292.7,65.23%,70.13,59.03%,0.52,28.78
50497,Adrien Dumont de Chassart,2024 Presidents Cup,65.58%,1.16,302.8,54.25%,70.81,53.03%,0.43,29.45
31646,Emiliano Grillo,2024 Presidents Cup,65.57%,1.24,292.3,63.69%,70.64,56.97%,0.32,29.02
52514,Trace Crowe,2024 Presidents Cup,65.37%,1.53,299.5,58.77%,69.84,59.04%,0.45,28.38
57975,Harry Hall,2024 Presidents Cup,65.36%,1.63,298.3,54.64%,69.6,62.91%,0.44,28.0
51766,Wyndham Clark,2024 Presidents Cup,65.34%,1.67,314.0,55.25%,69.61,59.81%,0.37,28.15
47420,Jake Knapp,2024 Presidents Cup,65.34%,1.22,309.8,56.48%,70.77,54.85%,0.52,29.03
27644,Brian Harman,2024 Presidents Cup,65.33%,1.48,293.5,66.29%,70.01,61.58%,0.33,28.48
49947,Taylor Moore,2024 Presidents Cup,65.29%,1.3,305.3,57.80%,70.56,59.68%,0.37,28.75
54628,Lee Hodges,2024 Presidents Cup,65.22%,1.27,294.7,65.23%,70.78,60.61%,0.41,29.16
52453,Nicolai Højgaard,2024 Presidents Cup,65.11%,1.12,309.1,54.30%,71.23,55.87%,0.56,29.58
50525,Collin Morikawa,2024 Presidents Cup,65.04%,1.89,296.0,70.57%,69.35,65.68%,0.24,27.73
30926,Chris Kirk,2024 Presidents Cup,65.02%,1.42,299.1,63.83%,70.33,59.73%,0.46,28.66
34098,Russell Henley,2024 Presidents Cup,64.99%,1.65,291.3,69.49%,69.78,65.00%,0.18,27.9
37455,Si Woo Kim,2024 Presidents Cup,64.86%,1.57,294.9,67.27%,69.76,63.62%,0.4,28.37
49771,J.T. Poston,2024 Presidents Cup,64.79%,1.45,291.9,65.71%,70.22,59.22%,0.45,28.58
37378,Min Woo Lee,2024 Presidents Cup,64.78%,1.35,315.5,58.70%,70.18,55.22%,0.32,29.08
47347,Adam Schenk,2024 Presidents Cup,64.77%,1.29,301.0,60.90%,70.81,59.54%,0.57,28.91
28420,Ryan Brehm,2024 Presidents Cup,64.73%,0.94,306.7,54.10%,71.86,54.45%,0.61,29.89
36799,Stephan Jaeger,2024 Presidents Cup,64.73%,1.35,308.8,59.39%,70.29,59.13%,0.51,28.81
33448,Justin Thomas,2024 Presidents Cup,64.73%,1.58,309.8,55.95%,69.88,61.00%,0.38,28.49
47504,Sam Burns,2024 Presidents Cup,64.69%,1.75,307.4,61.62%,69.56,60.78%,0.32,27.78
39971,Sungjae Im,2024 Presidents Cup,64.66%,1.7,299.3,63.62%,69.61,63.26%,0.4,28.2
47483,Will Zalatoris,2024 Presidents Cup,64.61%,1.25,302.6,60.44%,70.56,61.27%,0.55,29.27
57362,Austin Eckroat,2024 Presidents Cup,64.46%,1.27,300.6,67.13%,70.54,55.91%,0.35,28.77
33399,Adam Hadwin,2024 Presidents Cup,64.46%,1.36,297.6,61.79%,70.35,56.10%,0.42,28.58
40058,Zac Blair,2024 Presidents Cup,64.44%,1.37,281.1,67.11%,70.23,62.24%,0.42,28.67
29936,Ryan Fox,2024 Presidents Cup,64.43%,1.18,308.4,50.00%,70.69,55.67%,0.42,29.21
40098,Matt Fitzpatrick,2024 Presidents Cup,64.40%,1.43,299.0,63.18%,70.37,61.76%,0.44,28.34
31323,Gary Woodland,2024 Presidents Cup,64.31%,1.02,310.7,54.38%,71.21,51.18%,0.65,29.65
47995,Davis Riley,2024 Presidents Cup,64.21%,1.35,302.8,58.25%,70.45,58.52%,0.48,28.67
48699,Callum Tarren,2024 Presidents Cup,64.21%,0.99,308.6,51.39%,71.38,52.84%,0.81,30.0
30927,Brendon Todd,2024 Presidents Cup,64.05%,1.36,280.4,69.44%,70.28,61.28%,0.47,28.31
34099,Harris English,2024 Presidents Cup,64.00%,1.32,299.4,62.76%,70.44,62.35%,0.41,28.44
23108,Matt Kuchar,2024 Presidents Cup,63.94%,1.28,288.3,65.49%,70.58,59.73%,0.3,28.63
38991,Alejandro Tosti,2024 Presidents Cup,63.94%,1.09,312.8,50.00%,71.16,50.87%,0.74,29.45
45157,Cam Davis,2024 Presidents Cup,63.78%,1.36,302.6,61.09%,70.53,57.67%,0.43,28.63
33968,Thorbjørn Olesen,2024 Presidents Cup,63.77%,1.23,302.1,55.45%,70.63,56.55%,0.48,28.98
59866,Nick Dunlap,2024 Presidents Cup,63.76%,1.35,307.8,55.69%,70.51,54.26%,0.56,28.68
39977,Max Homa,2024 Presidents Cup,63.56%,1.3,300.6,56.38%,70.89,62.20%,0.47,28.65
28089,Jason Day,2024 Presidents Cup,63.45%,1.63,300.8,61.16%,69.95,63.00%,0.36,27.91
51894,Vince Whaley,2024 Presidents Cup,63.43%,1.46,303.6,50.45%,70.21,61.71%,0.38,28.56
57900,Chandler Phillips,2024 Presidents Cup,63.40%,1.58,294.0,61.75%,69.64,62.17%,0.4,28.05
33653,Thomas Detry,2024 Presidents Cup,63.35%,1.41,303.3,58.98%,69.99,60.41%,0.37,28.07
22405,Justin Rose,2024 Presidents Cup,63.30%,1.34,297.5,63.20%,70.54,62.53%,0.43,28.54
25493,Nick Taylor,2024 Presidents Cup,63.12%,1.21,291.3,60.29%,70.58,60.70%,0.48,28.72
27649,Brandt Snedeker,2024 Presidents Cup,63.11%,0.98,282.0,61.24%,71.81,54.82%,0.72,29.28
35450,Patrick Cantlay,2024 Presidents Cup,63.08%,1.58,302.7,58.42%,69.86,63.89%,0.37,28.03
32102,Rickie Fowler,2024 Presidents Cup,63.08%,1.1,297.7,60.09%,71.38,56.71%,0.43,28.89
55454,Carl Yuan,2024 Presidents Cup,63.08%,1.15,310.2,57.55%,71.08,58.93%,0.77,28.98
46441,Robby Shelton,2024 Presidents Cup,63.03%,1.35,290.3,58.23%,70.44,60.36%,0.53,28.22
37212,Paul Barjon,2024 Presidents Cup,62.64%,0.99,311.1,55.78%,71.91,49.07%,0.7,29.9
35506,Mackenzie Hughes,2024 Presidents Cup,62.38%,1.52,298.1,55.12%,69.84,65.30%,0.28,27.88
47993,Denny McCarthy,2024 Presidents Cup,62.18%,1.54,291.3,62.37%,70.04,65.84%,0.34,27.78
34374,Erik Barnes,2024 Presidents Cup,62.17%,1.1,301.6,51.99%,71.46,56.64%,0.48,28.83
33408,Tyson Alexander,2024 Presidents Cup,62.12%,1.12,302.8,54.07%,71.24,56.27%,0.51,28.73
45522,Christiaan Bezuidenhout,2024 Presidents Cup,62.06%,1.53,290.7,59.49%,69.89,64.93%,0.24,27.86
48119,Ben Taylor,2024 Presidents Cup,61.96%,0.96,300.6,50.78%,71.57,52.38%,0.35,29.11
47591,Eric Cole,2024 Presidents Cup,61.65%,1.36,298.2,58.09%,70.42,60.75%,0.38,28.13
22371,Aaron Baddeley,2024 Presidents Cup,61.60%,1.52,284.2,55.60%,70.38,67.26%,0.3,27.77
34466,Peter Malnati,2024 Presidents Cup,61.45%,1.1,297.1,52.44%,70.94,58.76%,0.42,28.63
50188,S.H. Kim,2024 Presidents Cup,60.63%,1.35,303.1,55.07%,70.31,59.93%,0.38,27.88
