RANK,MOVEMENT,PLAYER_ID,PLAYER,BIRDIE TO BOGEY RATIO,TOTAL BIRDIES AND BETTER,TOTAL BOGEYS AND WORSE
1,0,46046,Scottie Scheffler,2.83,377,133
2,0,48081,Xander Schauffele,2.64,356,135
3,0,34587,Chan Kim,1.90,307,162
4,0,50525,Collin Morikawa,1.89,328,174
5,0,39546,Keith Mitchell,1.85,333,180
6,0,39327,Ben Silverman,1.84,294,160
7,0,46414,Aaron Rai,1.81,354,196
8,0,52955,Ludvig Åberg,1.79,309,173
8,0,30163,Henrik Norlander,1.79,177,99
10,0,54576,Patrick Fishburn,1.78,203,114
10,0,27349,Alex Noren,1.78,288,162
12,0,32757,Patton Kizzire,1.76,215,122
13,0,47504,Sam Burns,1.75,356,203
14,0,54591,Ben Griffin,1.74,373,214
15,0,60004,Jacob Bridgeman,1.73,258,149
16,0,46442,Maverick McNealy,1.72,326,190
17,0,51997,Andrew Novak,1.71,274,160
17,0,27064,Jhonattan Vegas,1.71,245,143
19,0,39971,Sungjae Im,1.70,378,222
19,0,32839,Hideki Matsuyama,1.70,284,167
21,0,28237,Rory McIlroy,1.69,289,171
22,0,51766,Wyndham Clark,1.67,318,190
22,0,52375,Doug Ghim,1.67,265,159
22,0,55893,Sam Stevens,1.67,323,193
25,0,51977,Max Greyserman,1.66,312,188
26,0,34098,Russell Henley,1.65,285,173
27,0,29725,Tony Finau,1.64,364,222
27,0,34256,Andrew Putnam,1.64,267,163
27,0,58168,Davis Thompson,1.64,363,221
30,0,28089,Jason Day,1.63,305,187
30,0,57975,Harry Hall,1.63,293,180
30,0,52215,Robert MacIntyre,1.63,301,185
33,0,29420,Billy Horschel,1.62,316,195
33,0,35461,Beau Hossler,1.62,285,176
35,0,30911,Tommy Fleetwood,1.61,259,161
35,0,35532,Tom Hoge,1.61,413,257
35,0,40006,Erik van Rooyen,1.61,301,187
38,0,39975,Michael Kim,1.60,286,179
38,0,59143,Mac Meissner,1.60,261,163
38,0,51634,Sahith Theegala,1.60,382,239
41,0,40250,Taylor Pendrith,1.59,325,205
42,0,35450,Patrick Cantlay,1.58,289,183
42,0,51696,Rico Hoey,1.58,265,168
42,0,57900,Chandler Phillips,1.58,284,180
42,0,33448,Justin Thomas,1.58,283,179
46,0,37455,Si Woo Kim,1.57,357,227
46,0,24502,Adam Scott,1.57,288,184
48,0,39997,Corey Conners,1.56,364,234
48,0,48887,Matt Wallace,1.56,261,167
50,0,36699,Patrick Rodgers,1.55,310,200
50,0,39324,J.J. Spaun,1.55,246,159
50,0,45242,Kevin Yu,1.55,246,159
53,0,46717,Viktor Hovland,1.54,249,162
53,0,47993,Denny McCarthy,1.54,329,214
53,0,27139,David Skinns,1.54,244,158
53,0,50484,Hayden Springer,1.54,235,153
57,0,45522,Christiaan Bezuidenhout,1.53,309,202
57,0,52514,Trace Crowe,1.53,214,140
57,0,36801,Mark Hubbard,1.53,330,216
57,0,40162,Justin Lower,1.53,335,219
61,0,33948,Byeong Hun An,1.52,325,214
61,0,22371,Aaron Baddeley,1.52,227,149
61,0,56630,Akshay Bhatia,1.52,358,235
61,0,35506,Mackenzie Hughes,1.52,326,215
61,0,32333,Kevin Tway,1.52,169,111
66,0,51287,Ryo Hisatsune,1.51,279,185
67,0,59836,Pierceson Coody,1.50,276,184
68,0,32640,Troy Merritt,1.49,263,177
69,0,27644,Brian Harman,1.48,328,221
70,0,51349,Nico Echavarria,1.47,277,188
70,0,24024,Zach Johnson,1.47,196,133
70,0,28252,Seamus Power,1.47,289,196
70,0,26476,Chez Reavie,1.47,211,144
70,0,33486,Roger Sloan,1.47,202,137
70,0,54783,Dylan Wu,1.47,262,178
76,0,60067,Joe Highsmith,1.46,227,156
76,0,12716,Charley Hoffman,1.46,251,172
76,0,27936,Martin Laird,1.46,211,145
76,0,37275,Sam Ryder,1.46,260,178
76,0,51890,Greyson Sigg,1.46,222,152
76,0,51894,Vince Whaley,1.46,203,139
76,0,52513,Carson Young,1.46,269,184
83,0,47679,Victor Perez,1.45,247,170
83,0,49771,J.T. Poston,1.45,330,228
85,0,35310,Lanto Griffin,1.44,230,160
85,0,33204,Shane Lowry,1.44,295,205
87,0,40098,Matt Fitzpatrick,1.43,282,197
87,0,59095,Chris Gotterup,1.43,255,178
87,0,28775,Nate Lashley,1.43,200,140
90,0,30926,Chris Kirk,1.42,303,213
90,0,48117,Kurt Kitayama,1.42,257,181
92,0,34255,Joseph Bramlett,1.41,244,173
92,0,34076,Joel Dahmen,1.41,272,193
92,0,33653,Thomas Detry,1.41,292,207
92,0,55182,Tom Kim,1.41,336,238
92,0,32791,K.H. Lee,1.41,233,165
92,0,48867,Matti Schmid,1.41,257,182
92,0,46340,Alex Smalley,1.41,222,158
99,0,29908,C.T. Pan,1.40,173,124
100,0,33141,Keegan Bradley,1.39,318,229
100,0,34563,Chesson Hadley,1.39,218,157
102,0,49960,Sepp Straka,1.38,280,203
102,0,57366,Cameron Young,1.38,337,244
104,0,40058,Zac Blair,1.37,233,170
104,0,32367,Jorge Campillo,1.37,202,147
104,0,47988,Nick Hardy,1.37,266,194
107,0,47591,Eric Cole,1.36,388,286
107,0,45157,Cam Davis,1.36,324,238
107,0,33399,Adam Hadwin,1.36,319,234
107,0,30927,Brendon Todd,1.36,336,247
111,0,59442,Parker Coody,1.35,202,150
111,0,47663,Kevin Dougherty,1.35,193,143
111,0,59866,Nick Dunlap,1.35,292,217
111,0,36799,Stephan Jaeger,1.35,297,220
111,0,50188,S.H. Kim,1.35,353,261
111,0,37378,Min Woo Lee,1.35,265,197
111,0,47995,Davis Riley,1.35,261,193
111,0,46441,Robby Shelton,1.35,247,183
119,0,22405,Justin Rose,1.34,227,169
120,0,54421,Garrick Higgo,1.33,234,176
120,0,47983,Chad Ramey,1.33,244,183
122,0,34099,Harris English,1.32,278,210
122,0,25900,Lucas Glover,1.32,283,215
122,0,36871,Matt NeSmith,1.32,216,164
122,0,48153,Matthieu Pavon,1.32,256,194
122,0,34046,Jordan Spieth,1.32,290,220
122,0,27214,Kevin Streelman,1.32,207,157
122,0,52374,Brandon Wu,1.32,249,188
129,0,45609,Tyler Duncan,1.31,185,141
129,0,36884,Ben Kohles,1.31,253,193
129,0,26596,Ryan Moore,1.31,215,164
129,0,50493,Justin Suh,1.31,238,182
129,0,52666,Sami Valimaki,1.31,202,154
134,0,32070,Rafael Campos,1.30,187,144
134,0,52372,Cameron Champ,1.30,178,137
134,0,39977,Max Homa,1.30,279,214
134,0,49947,Taylor Moore,1.30,301,232
138,0,40026,Daniel Berger,1.29,209,162
138,0,47347,Adam Schenk,1.29,305,237
138,0,40115,Adam Svensson,1.29,311,241
141,0,23108,Matt Kuchar,1.28,204,160
142,0,57362,Austin Eckroat,1.27,311,244
142,0,54628,Lee Hodges,1.27,262,207
142,0,46113,Ryan McCormick,1.27,193,152
145,0,47483,Will Zalatoris,1.25,232,185
146,0,55708,Hayden Buckley,1.24,219,176
146,0,31646,Emiliano Grillo,1.24,292,236
146,0,27129,Luke List,1.24,214,172
149,0,33968,Thorbjørn Olesen,1.23,187,152
150,0,47420,Jake Knapp,1.22,299,246
151,0,25493,Nick Taylor,1.21,261,215
152,0,36326,David Lipsky,1.20,207,173
152,0,48319,Tom Whitney,1.20,199,166
154,0,29936,Ryan Fox,1.18,228,193
155,0,50497,Adrien Dumont de Chassart,1.16,220,190
156,0,55454,Carl Yuan,1.15,191,166
157,0,33408,Tyson Alexander,1.12,219,196
157,0,52453,Nicolai Højgaard,1.12,203,182
159,0,34374,Erik Barnes,1.10,163,148
159,0,32102,Rickie Fowler,1.10,241,220
159,0,34466,Peter Malnati,1.10,238,216
162,0,38991,Alejandro Tosti,1.09,226,208
163,0,31323,Gary Woodland,1.02,240,235
164,0,37212,Paul Barjon,0.99,162,163
164,0,48699,Callum Tarren,0.99,195,197
166,0,27649,Brandt Snedeker,0.98,182,185
167,0,48119,Ben Taylor,0.96,164,171
168,0,28420,Ryan Brehm,0.94,162,172
169,0,51070,Vincent Norrman,0.89,149,168
