RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,29936,Ryan Fox,312.3,2498,8
2,0,46970,Jon Rahm,308.8,2470,8
3,0,29970,Dylan Frittelli,308.0,2464,8
4,0,47959,Bryson DeChambeau,305.3,2442,8
5,0,46046,Scottie Scheffler,304.5,2436,8
6,0,36689,Brooks Koepka,304.3,2434,8
7,0,21209,Sergio Garcia,304.0,2432,8
8,0,28237,Rory McIlroy,303.5,2428,8
9,0,33948,Byeong Hun An,303.4,2427,8
10,0,30925,Dustin Johnson,301.6,2413,8
11,0,48081,Xander Schauffele,300.0,2400,8
12,0,35310,Lanto Griffin,299.5,2396,8
13,0,47989,Sam Horsfield,299.0,2392,8
14,0,29725,Tony Finau,298.6,2389,8
15,0,30944,Jason Kokrak,298.3,2386,8
16,0,26329,Louis Oosthuizen,297.1,2377,8
17,0,34046,Jordan Spieth,296.6,2373,8
18,0,46837,Yuxin Lin,296.5,2372,8
19,0,54190,Richard Mansell,296.1,2369,8
20,0,20396,Lee Westwood,295.6,2365,8
21,0,45486,Joaquin Niemann,294.6,2357,8
22,0,33448,Justin Thomas,294.3,2354,8
23,0,27214,Kevin Streelman,294.1,2353,8
24,0,47504,Sam Burns,293.8,2350,8
25,0,30911,Tommy Fleetwood,293.3,2346,8
26,0,34587,Chan Kim,291.9,2335,8
27,0,52215,Robert MacIntyre,291.8,2334,8
28,0,35181,Daniel van Tonder,291.3,2330,8
29,0,48867,Matti Schmid,291.0,2328,8
30,0,39977,Max Homa,290.9,2327,8
30,0,22405,Justin Rose,290.9,2327,8
32,0,29518,Brendan Steele,290.8,2326,8
33,0,39997,Corey Conners,290.5,2324,8
34,0,34708,Jack Senior,290.3,2322,8
35,0,20766,Padraig Harrington,290.0,2320,8
36,0,33974,Dean Burmester,289.8,2318,8
37,0,34099,Harris English,287.9,2303,8
37,0,48640,Johannes Veerman,287.9,2303,8
39,0,46402,Talor Gooch,287.5,2300,8
40,0,35506,Mackenzie Hughes,286.9,2295,8
41,0,35891,Cameron Smith,286.8,2294,8
42,0,29420,Billy Horschel,286.5,2292,8
43,0,29478,Kevin Kisner,286.4,2291,8
44,0,31646,Emiliano Grillo,286.0,2288,8
45,0,50525,Collin Morikawa,285.8,2286,8
46,0,33419,Cameron Tringale,285.3,2282,8
47,0,48887,Matt Wallace,284.4,2275,8
48,0,32102,Rickie Fowler,283.4,2267,8
49,0,46717,Viktor Hovland,282.0,2256,8
50,9,40026,Daniel Berger,281.5,2252,8
51,0,45522,Christiaan Bezuidenhout,281.4,2251,8
52,0,25364,Paul Casey,280.9,2247,8
53,0,27649,Brandt Snedeker,280.8,2246,8
54,0,40098,Matt Fitzpatrick,280.6,2245,8
55,0,50722,Jon Thomson,278.5,2228,8
56,0,33204,Shane Lowry,277.8,2222,8
57,0,46414,Aaron Rai,277.4,2219,8
58,0,35314,Andy Sullivan,277.1,2217,8
59,0,29454,Bernd Wiesberger,276.8,2214,8
60,0,45526,Abraham Ancer,276.0,2208,8
61,0,45194,Marcus Armitage,275.6,2205,8
62,0,46646,Antoine Rozner,275.1,2201,8
63,0,28938,Justin Harding,274.8,2198,8
64,0,45836,Richard Bland,274.5,2196,8
64,0,27644,Brian Harman,274.5,2196,8
66,0,30812,Benjamin Hebert,273.9,2191,8
67,0,24138,Ian Poulter,273.3,2186,8
67,0,45847,JC Ritchie,273.3,2186,8
67,0,29221,Webb Simpson,273.3,2186,8
70,0,47238,Jazz Janewattananond,272.9,2183,8
71,-4,26476,Chez Reavie,270.9,2167,8
72,0,34076,Joel Dahmen,270.8,2166,8
73,0,32139,Danny Willett,268.1,2145,8
74,0,23481,Marcel Siem,263.9,2111,8
75,0,24502,Adam Scott,263.6,2109,8
76,0,34500,Ryosuke Kinoshita,261.9,2095,8
77,0,34541,Poom Saksansin,257.3,2058,8
