RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,47959,Bryson DeChambeau,330.5,2644,8
2,12,46046,Scottie Scheffler,320.4,2563,8
3,2,24502,Adam Scott,320.1,2561,8
4,0,36689,Brooks Koepka,319.0,2552,8
4,0,37378,Min Woo Lee,319.0,2552,8
6,0,33974,Dean Burmester,315.9,2527,8
7,0,34046,Jordan Spieth,315.0,2520,8
8,0,28237,Rory McIlroy,314.1,2513,8
9,0,35450,Patrick Cantlay,313.8,2510,8
9,0,45157,Cam Davis,313.8,2510,8
9,0,48699,Callum Tarren,313.8,2510,8
12,0,39546,Keith Mitchell,312.9,2503,8
13,0,33653,Thomas Detry,312.5,2500,8
14,0,48081,Xander Schauffele,312.4,2499,8
15,0,52453,Nicolai Hojgaard,311.5,2492,8
16,0,30925,Dustin Johnson,311.3,2490,8
17,0,51634,Sahith Theegala,311.1,2489,8
18,0,36699,Patrick Rodgers,310.0,2480,8
19,0,47529,Mito Pereira,309.8,2478,8
20,-13,55893,Sam Stevens,307.8,2462,8
21,-13,36799,Stephan Jaeger,307.3,2458,8
22,0,49960,Sepp Straka,307.1,2457,8
23,3,34363,Tyrrell Hatton,307.0,2456,8
24,0,55708,Hayden Buckley,306.6,2453,8
25,0,48117,Kurt Kitayama,306.5,2452,8
26,0,30911,Tommy Fleetwood,305.9,2447,8
27,0,39997,Corey Conners,305.5,2444,8
28,0,33141,Keegan Bradley,305.3,2442,8
29,0,48119,Ben Taylor,305.1,2441,8
30,0,50493,Justin Suh,305.0,2440,8
31,0,46970,Jon Rahm,304.9,2439,8
32,0,46717,Viktor Hovland,304.8,2438,8
33,0,46340,Alex Smalley,304.1,2433,8
34,0,39977,Max Homa,303.9,2431,8
35,0,29936,Ryan Fox,303.3,2426,8
36,0,33204,Shane Lowry,303.1,2425,8
37,0,33448,Justin Thomas,302.9,2423,8
38,0,35461,Beau Hossler,302.6,2421,8
38,0,37189,Harold Varner III,302.6,2421,8
40,0,40115,Adam Svensson,301.6,2413,8
41,0,39058,Lucas Herbert,301.5,2412,8
42,0,49947,Taylor Moore,301.1,2409,8
43,-7,32791,K.H. Lee,300.5,2404,8
44,21,47591,Eric Cole,300.1,2401,8
45,0,33293,Thomas Pieters,299.6,2397,8
46,0,01810,Phil Mickelson,298.9,2391,8
47,0,48051,Yannik Paul,298.1,2385,8
48,0,40250,Taylor Pendrith,297.8,2382,8
49,0,26476,Chez Reavie,297.3,2378,8
50,1,33399,Adam Hadwin,296.6,2373,8
51,0,33674,Adrian Meronk,296.0,2368,8
52,-22,36871,Matt NeSmith,295.6,2365,8
53,0,49771,J.T. Poston,294.8,2358,8
54,0,50525,Collin Morikawa,294.6,2357,8
55,0,54628,Lee Hodges,294.4,2355,8
56,0,29725,Tony Finau,293.8,2350,8
57,0,32369,Sihwan Kim,292.8,2342,8
58,0,22405,Justin Rose,291.9,2335,8
59,0,29670,Pablo Larrazabal,291.8,2334,8
60,0,20766,Padraig Harrington,291.3,2330,8
60,2,32839,Hideki Matsuyama,291.3,2330,8
62,0,22764,Michael Block,291.1,2329,8
63,0,45523,Thriston Lawrence,291.0,2328,8
64,0,47056,Rikuya Hoshino,290.8,2326,8
65,0,47679,Victor Perez,290.6,2325,8
66,0,35891,Cameron Smith,290.0,2320,8
67,0,34360,Patrick Reed,288.4,2307,8
68,0,36801,Mark Hubbard,287.8,2302,8
69,-16,55789,Taylor Montgomery,287.6,2301,8
70,0,30926,Chris Kirk,287.3,2298,8
71,-32,35532,Tom Hoge,286.9,2295,8
72,0,35778,Kazuki Higa,284.6,2277,8
73,0,47993,Denny McCarthy,283.9,2271,8
74,0,24024,Zach Johnson,282.6,2261,8
75,0,48887,Matt Wallace,281.5,2252,8
76,0,34076,Joel Dahmen,280.5,2244,8
