RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 3 PUTTS,TOTAL ROUNDS
125,5,25900,Lucas Glover,.38,26,69
125,5,50188,S.H. Kim,.38,30,79
125,5,46414,Aaron Rai,.38,33,86
125,5,39327,Ben Silverman,.38,25,66
125,-9,33448,Justin Thomas,.38,24,63
131,8,33141,Keegan Bradley,.37,29,79
131,-1,35450,Patrick Cantlay,.37,24,65
131,-1,51766,Wyndham Clark,.37,24,65
131,8,47591,Eric Cole,.37,34,91
131,8,33653,Thomas Detry,.37,25,67
131,8,30911,Tommy Fleetwood,.37,26,71
131,8,49947,Taylor Moore,.37,30,81
138,6,28089,Jason Day,.36,25,69
138,9,40250,Taylor Pendrith,.36,26,72
138,6,34046,Jordan Spieth,.36,25,70
138,-8,49960,Sepp Straka,.36,27,75
142,5,57362,Austin Eckroat,.35,27,78
142,5,29908,C.T. Pan,.35,16,46
144,6,47993,Denny McCarthy,.34,28,83
144,0,46046,Scottie Scheffler,.34,24,71
144,6,24502,Adam Scott,.34,24,71
144,6,48119,Ben Taylor,.34,15,44
148,5,59836,Pierceson Coody,.33,19,58
148,5,27644,Brian Harman,.33,27,83
150,3,47504,Sam Burns,.32,23,73
150,6,31646,Emiliano Grillo,.32,26,81
152,6,54421,Garrick Higgo,.31,17,55
152,4,52215,Robert MacIntyre,.31,22,72
152,6,51997,Andrew Novak,.31,20,64
155,5,22371,Aaron Baddeley,.30,16,53
155,5,23108,Matt Kuchar,.30,16,53
157,5,37378,Min Woo Lee,.29,17,58
158,5,35506,Mackenzie Hughes,.28,22,79
158,5,46442,Maverick McNealy,.28,20,71
160,5,45522,Christiaan Bezuidenhout,.24,18,76
160,5,50525,Collin Morikawa,.24,18,75
160,5,47679,Victor Perez,.24,16,68
163,5,34098,Russell Henley,.18,13,73
164,5,48081,Xander Schauffele,.16,12,75
