RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,4,50525,Collin Morikawa,27.73,2080,75,21
2,-1,22371,Aaron Baddeley,27.75,1471,53,24
3,-1,35506,Mackenzie Hughes,27.77,2194,79,21
4,0,47504,Sam Burns,27.78,2028,73,21
4,-1,47993,Denny McCarthy,27.78,2306,83,21
6,2,45522,Christiaan Bezuidenhout,27.86,2117,76,20
7,-1,50188,S.H. Kim,27.89,2203,79,21
8,3,34098,Russell Henley,27.90,2037,73,21
9,-2,28089,Jason Day,27.91,1926,69,22
10,-1,46442,Maverick McNealy,27.96,1985,71,22
11,-1,57975,Harry Hall,28.00,1792,64,20
12,0,35450,Patrick Cantlay,28.03,1822,65,22
13,-1,33653,Thomas Detry,28.07,1881,67,23
14,0,47591,Eric Cole,28.09,2556,91,21
15,2,51766,Wyndham Clark,28.11,1827,65,23
16,-1,57900,Chandler Phillips,28.19,1663,59,24
17,1,39971,Sungjae Im,28.20,2341,83,22
18,-2,46441,Robby Shelton,28.21,1580,56,23
19,-1,48081,Xander Schauffele,28.23,2117,75,23
20,3,40250,Taylor Pendrith,28.29,2037,72,23
21,5,46046,Scottie Scheffler,28.32,2011,71,24
22,-2,52514,Trace Crowe,28.33,1275,45,23
23,-2,40098,Matt Fitzpatrick,28.34,2012,71,23
24,-2,30927,Brendon Todd,28.36,2354,83,20
25,-2,34099,Harris English,28.37,2071,73,23
25,-2,37455,Si Woo Kim,28.37,2355,83,24
27,0,28237,Rory McIlroy,28.39,1959,69,23
28,-1,32839,Hideki Matsuyama,28.41,1989,70,22
29,1,29420,Billy Horschel,28.43,2161,76,23
30,6,24502,Adam Scott,28.45,2020,71,24
31,-2,27644,Brian Harman,28.48,2364,83,22
32,5,33448,Justin Thomas,28.49,1795,63,23
33,11,52215,Robert MacIntyre,28.51,2053,72,22
34,1,56630,Akshay Bhatia,28.53,2454,86,21
35,-4,22405,Justin Rose,28.54,1741,61,21
36,-4,51977,Max Greyserman,28.55,1970,69,23
37,0,52955,Ludvig Åberg,28.58,2029,71,23
37,-4,33399,Adam Hadwin,28.58,2086,73,23
37,13,46717,Viktor Hovland,28.58,1629,57,21
37,-4,49771,J.T. Poston,28.58,2201,77,21
41,3,35532,Tom Hoge,28.60,2488,87,22
42,-5,60004,Jacob Bridgeman,28.61,1545,54,23
42,-5,34046,Jordan Spieth,28.61,2003,70,23
44,-3,59836,Pierceson Coody,28.62,1660,58,20
44,-3,23108,Matt Kuchar,28.62,1517,53,23
46,-2,45157,Cam Davis,28.63,2147,75,23
46,-2,34466,Peter Malnati,28.63,1861,65,24
46,-2,51894,Vince Whaley,28.63,1317,46,20
49,0,39977,Max Homa,28.64,2091,73,23
50,5,30926,Chris Kirk,28.66,2035,71,22
51,0,54591,Ben Griffin,28.67,2466,86,23
51,0,47995,Davis Riley,28.67,1749,61,22
51,0,25493,Nick Taylor,28.67,1921,67,22
54,-13,33948,Byeong Hun An,28.68,2151,75,24
54,0,59866,Nick Dunlap,28.68,1807,63,21
56,0,34256,Andrew Putnam,28.71,1809,63,23
57,0,33408,Tyson Alexander,28.72,1522,53,23
58,0,35461,Beau Hossler,28.73,1810,63,19
58,0,36801,Mark Hubbard,28.73,2155,75,23
58,14,51634,Sahith Theegala,28.73,2442,85,24
58,0,57366,Cameron Young,28.73,2327,81,24
62,-1,49947,Taylor Moore,28.75,2329,81,23
62,-1,27349,Alex Noren,28.75,1984,69,24
62,-1,54783,Dylan Wu,28.75,1725,60,21
65,-1,39975,Michael Kim,28.76,1697,59,24
65,-1,32640,Troy Merritt,28.76,1668,58,23
67,-1,57362,Austin Eckroat,28.77,2244,78,23
67,-1,58168,Davis Thompson,28.77,2359,82,19
69,-1,55182,Tom Kim,28.78,2216,77,23
70,-1,36799,Stephan Jaeger,28.81,1988,69,24
71,-1,39327,Ben Silverman,28.82,1902,66,23
72,-1,40058,Zac Blair,28.84,1615,56,24
73,-1,55454,Carl Yuan,28.85,1327,46,22
74,2,32102,Rickie Fowler,28.89,1878,65,24
74,2,47347,Adam Schenk,28.89,2138,74,24
76,2,32791,K.H. Lee,28.91,1561,54,22
76,2,47983,Chad Ramey,28.91,1619,56,23
78,6,30911,Tommy Fleetwood,28.93,2054,71,21
78,13,49960,Sepp Straka,28.93,2170,75,24
80,0,50484,Hayden Springer,28.94,1447,50,21
80,0,55893,Sam Stevens,28.94,2026,70,22
82,0,28252,Seamus Power,28.95,2229,77,22
83,1,54421,Garrick Higgo,28.96,1593,55,23
83,1,33486,Roger Sloan,28.96,1332,46,21
83,1,52666,Sami Valimaki,28.96,1390,48,24
86,2,24024,Zach Johnson,28.98,1275,44,24
86,2,33968,Thorbjørn Olesen,28.98,1391,48,23
88,24,33141,Keegan Bradley,28.99,2290,79,24
89,2,32367,Jorge Campillo,29.00,1508,52,24
89,2,12716,Charley Hoffman,29.00,1508,52,25
89,2,59143,Mac Meissner,29.00,1682,58,24
89,2,51997,Andrew Novak,29.00,1856,64,25
93,-11,29725,Tony Finau,29.01,2292,79,24
93,3,25900,Lucas Glover,29.01,2002,69,24
93,3,48117,Kurt Kitayama,29.01,1944,67,24
93,21,33204,Shane Lowry,29.01,2031,70,24
97,1,31646,Emiliano Grillo,29.02,2351,81,23
97,1,27936,Martin Laird,29.02,1393,48,24
97,1,37378,Min Woo Lee,29.02,1683,58,24
