RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
1,0,46046,Scottie Scheffler,68.01,5101,75
2,0,48081,Xander Schauffele,68.51,5412,79
3,0,39546,Keith Mitchell,69.04,5040,73
4,0,46414,Aaron Rai,69.29,6167,89
5,0,54591,Ben Griffin,69.31,6238,90
6,0,27064,Jhonattan Vegas,69.33,3952,57
7,0,34587,Chan Kim,69.34,4854,70
7,0,51997,Andrew Novak,69.34,4646,67
9,0,50525,Collin Morikawa,69.35,5201,75
10,0,39327,Ben Silverman,69.38,5065,73
11,0,52215,Robert MacIntyre,69.39,5204,75
12,0,46442,Maverick McNealy,69.41,5275,76
12,0,27349,Alex Noren,69.41,5067,73
14,0,51977,Max Greyserman,69.42,5068,73
15,0,58168,Davis Thompson,69.44,5972,86
16,0,52955,Ludvig Åberg,69.45,4931,71
17,0,29420,Billy Horschel,69.49,5490,79
18,0,30163,Henrik Norlander,69.52,3059,44
19,0,60004,Jacob Bridgeman,69.53,4172,60
20,0,47504,Sam Burns,69.56,5356,77
20,0,48887,Matt Wallace,69.56,4382,63
22,0,52375,Doug Ghim,69.60,4733,68
22,0,57975,Harry Hall,69.60,4663,67
24,0,51766,Wyndham Clark,69.61,4942,71
24,0,39971,Sungjae Im,69.61,6056,87
26,0,32839,Hideki Matsuyama,69.63,4874,70
26,0,59143,Mac Meissner,69.63,4387,63
26,0,24502,Adam Scott,69.63,4944,71
29,0,57900,Chandler Phillips,69.64,4666,67
30,0,40250,Taylor Pendrith,69.65,5224,75
31,0,40006,Erik van Rooyen,69.66,4946,71
32,0,55893,Sam Stevens,69.67,5434,78
33,0,32333,Kevin Tway,69.70,3067,44
34,0,32757,Patton Kizzire,69.71,3416,49
35,0,29725,Tony Finau,69.72,5787,83
36,0,28237,Rory McIlroy,69.74,4812,69
37,0,54576,Patrick Fishburn,69.75,3557,51
38,0,37455,Si Woo Kim,69.76,6069,87
39,0,36801,Mark Hubbard,69.77,5651,81
40,0,39997,Corey Conners,69.78,6071,87
40,0,34098,Russell Henley,69.78,5094,73
40,0,35532,Tom Hoge,69.78,6629,95
40,0,35461,Beau Hossler,69.78,4815,69
44,0,51634,Sahith Theegala,69.81,6213,89
45,0,52514,Trace Crowe,69.84,3492,50
45,0,35506,Mackenzie Hughes,69.84,5797,83
45,0,40162,Justin Lower,69.84,5517,79
45,0,47679,Victor Perez,69.84,4749,68
49,0,35450,Patrick Cantlay,69.86,4820,69
49,0,39975,Michael Kim,69.86,4541,65
51,0,24024,Zach Johnson,69.88,3354,48
51,0,33448,Justin Thomas,69.88,4682,67
53,0,45522,Christiaan Bezuidenhout,69.89,5591,80
53,0,51696,Rico Hoey,69.89,4403,63
53,0,45242,Kevin Yu,69.89,4263,61
56,0,52513,Carson Young,69.91,4474,64
57,0,32367,Jorge Campillo,69.92,3636,52
57,0,30911,Tommy Fleetwood,69.92,4964,71
59,0,27139,David Skinns,69.93,4266,61
60,0,56630,Akshay Bhatia,69.94,6225,89
61,0,28089,Jason Day,69.95,5106,73
62,0,28252,Seamus Power,69.96,5387,77
63,0,51287,Ryo Hisatsune,69.97,4898,70
63,0,39324,J.J. Spaun,69.97,4268,61
65,0,32791,K.H. Lee,69.98,4199,60
66,0,33653,Thomas Detry,69.99,4899,70
66,0,36699,Patrick Rodgers,69.99,5459,78
68,0,48117,Kurt Kitayama,70.00,4690,67
69,0,33948,Byeong Hun An,70.01,5251,75
69,0,27644,Brian Harman,70.01,5811,83
71,0,50484,Hayden Springer,70.02,3851,55
72,0,33204,Shane Lowry,70.03,5112,73
72,0,54783,Dylan Wu,70.03,4552,65
74,0,46717,Viktor Hovland,70.04,3992,57
74,0,47993,Denny McCarthy,70.04,5813,83
76,0,12716,Charley Hoffman,70.05,4133,59
77,0,34256,Andrew Putnam,70.08,4976,71
78,0,51349,Nico Echavarria,70.10,4767,68
78,0,55182,Tom Kim,70.10,5608,80
80,0,34255,Joseph Bramlett,70.11,4417,63
81,0,35310,Lanto Griffin,70.13,3927,56
81,0,32640,Troy Merritt,70.13,4418,63
83,0,59836,Pierceson Coody,70.14,4559,65
83,0,51890,Greyson Sigg,70.14,4489,64
85,0,59095,Chris Gotterup,70.16,4490,64
86,0,37378,Min Woo Lee,70.18,4632,66
87,0,28775,Nate Lashley,70.19,3720,53
88,0,34563,Chesson Hadley,70.20,3931,56
89,0,51894,Vince Whaley,70.21,3651,52
90,0,49771,J.T. Poston,70.22,5688,81
91,0,40026,Daniel Berger,70.23,3933,56
91,0,40058,Zac Blair,70.23,4495,64
91,0,33486,Roger Sloan,70.23,3722,53
94,0,34076,Joel Dahmen,70.25,4988,71
95,0,29908,C.T. Pan,70.26,3302,47
96,0,30927,Brendon Todd,70.28,6114,87
97,0,33141,Keegan Bradley,70.29,5553,79
97,0,36799,Stephan Jaeger,70.29,5131,73
97,0,48867,Matti Schmid,70.29,4428,63
100,0,26476,Chez Reavie,70.30,3937,56
101,0,50188,S.H. Kim,70.31,5906,84
102,0,52372,Cameron Champ,70.32,3305,47
103,0,30926,Chris Kirk,70.33,5275,75
103,0,37275,Sam Ryder,70.33,4290,61
105,0,34046,Jordan Spieth,70.34,4924,70
106,0,33399,Adam Hadwin,70.35,5417,77
106,0,60067,Joe Highsmith,70.35,3799,54
106,0,47983,Chad Ramey,70.35,4432,63
109,0,40098,Matt Fitzpatrick,70.37,4996,71
109,0,52666,Sami Valimaki,70.37,3589,51
111,0,22371,Aaron Baddeley,70.38,4223,60
111,0,27936,Martin Laird,70.38,3871,55
111,0,40115,Adam Svensson,70.38,6123,87
114,0,36871,Matt NeSmith,70.40,4365,62
115,0,59442,Parker Coody,70.41,4084,58
116,0,47591,Eric Cole,70.42,6831,97
116,0,57366,Cameron Young,70.42,5704,81
118,0,34099,Harris English,70.44,5283,75
118,0,46441,Robby Shelton,70.44,4297,61
120,0,47995,Davis Riley,70.45,4509,64
121,0,36884,Ben Kohles,70.46,4862,69
121,0,26596,Ryan Moore,70.46,4298,61
121,0,46340,Alex Smalley,70.46,3946,56
124,0,52374,Brandon Wu,70.47,4510,64
125,0,25900,Lucas Glover,70.49,5146,73
125,0,47988,Nick Hardy,70.49,4864,69
125,0,49960,Sepp Straka,70.49,5287,75
128,0,59866,Nick Dunlap,70.51,4724,67
128,0,50493,Justin Suh,70.51,4160,59
130,0,27214,Kevin Streelman,70.52,3808,54
131,0,45157,Cam Davis,70.53,5501,78
131,0,54421,Garrick Higgo,70.53,4373,62
133,0,32070,Rafael Campos,70.54,3245,46
133,0,57362,Austin Eckroat,70.54,5784,82
133,0,48153,Matthieu Pavon,70.54,4726,67
133,0,22405,Justin Rose,70.54,4303,61
137,0,49947,Taylor Moore,70.56,5715,81
137,0,47483,Will Zalatoris,70.56,4657,66
139,0,47663,Kevin Dougherty,70.57,3599,51
140,0,23108,Matt Kuchar,70.58,4235,60
140,0,25493,Nick Taylor,70.58,5082,72
142,0,45609,Tyler Duncan,70.61,3954,56
143,0,33968,Thorbjørn Olesen,70.63,3390,48
144,0,31646,Emiliano Grillo,70.64,5722,81
145,0,29936,Ryan Fox,70.69,4383,62
146,0,27129,Luke List,70.74,4032,57
147,0,47420,Jake Knapp,70.77,5237,74
148,0,54628,Lee Hodges,70.78,5379,76
149,0,50497,Adrien Dumont de Chassart,70.81,4178,59
149,0,47347,Adam Schenk,70.81,5594,79
151,0,55708,Hayden Buckley,70.82,4249,60
152,0,39977,Max Homa,70.89,5317,75
152,0,36326,David Lipsky,70.89,3970,56
154,0,34466,Peter Malnati,70.94,4824,68
155,0,46113,Ryan McCormick,71.02,3480,49
156,0,55454,Carl Yuan,71.08,3625,51
157,0,48319,Tom Whitney,71.09,3768,53
158,0,38991,Alejandro Tosti,71.16,3985,56
159,0,31323,Gary Woodland,71.21,4700,66
160,0,52453,Nicolai Højgaard,71.23,4060,57
161,0,33408,Tyson Alexander,71.24,4132,58
162,0,32102,Rickie Fowler,71.38,4854,68
162,0,48699,Callum Tarren,71.38,3926,55
164,0,34374,Erik Barnes,71.46,3287,46
165,0,48119,Ben Taylor,71.57,3507,49
166,0,51070,Vincent Norrman,71.73,3515,49
167,0,27649,Brandt Snedeker,71.81,3806,53
168,0,28420,Ryan Brehm,71.86,3521,49
169,0,37212,Paul Barjon,71.91,3164,44
