RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
120,2,49771,J.T. Poston,64.79%,898,1386,-0.30
120,2,47347,Adam Schenk,64.79%,863,1332,-0.28
122,2,36799,Stephan Jaeger,64.73%,804,1242,-0.29
122,11,33448,Justin Thomas,64.73%,734,1134,-0.30
124,5,47504,Sam Burns,64.69%,850,1314,-0.37
125,1,39971,Sungjae Im,64.66%,966,1494,-0.33
126,1,47483,Will Zalatoris,64.61%,721,1116,-0.25
127,1,40058,Zac Blair,64.58%,651,1008,-0.27
128,2,57362,Austin Eckroat,64.46%,905,1404,-0.29
128,2,33399,Adam Hadwin,64.46%,847,1314,-0.30
130,2,29936,Ryan Fox,64.43%,719,1116,-0.29
131,3,40098,Matt Fitzpatrick,64.40%,823,1278,-0.31
132,3,47995,Davis Riley,64.21%,705,1098,-0.30
133,3,30927,Brendon Todd,64.19%,959,1494,-0.29
134,3,37378,Min Woo Lee,64.08%,669,1044,-0.30
135,3,31323,Gary Woodland,64.06%,738,1152,-0.28
136,3,28420,Ryan Brehm,64.02%,507,792,-0.23
137,3,48699,Callum Tarren,64.00%,576,900,-0.25
138,3,38991,Alejandro Tosti,63.94%,587,918,-0.30
139,3,45157,Cam Davis,63.78%,861,1350,-0.31
140,3,34099,Harris English,63.77%,838,1314,-0.30
140,3,33968,Thorbjørn Olesen,63.77%,551,864,-0.30
142,3,59866,Nick Dunlap,63.76%,723,1134,-0.32
143,3,57900,Chandler Phillips,63.65%,676,1062,-0.32
144,3,51894,Vince Whaley,63.53%,526,828,-0.29
145,3,28089,Jason Day,63.45%,788,1242,-0.33
146,3,39977,Max Homa,63.39%,833,1314,-0.29
147,3,33653,Thomas Detry,63.35%,764,1206,-0.32
148,3,22405,Justin Rose,63.30%,695,1098,-0.29
149,4,23108,Matt Kuchar,63.10%,602,954,-0.27
149,4,46441,Robby Shelton,63.10%,636,1008,-0.30
151,1,35450,Patrick Cantlay,63.08%,738,1170,-0.32
151,4,32102,Rickie Fowler,63.08%,738,1170,-0.27
153,3,25493,Nick Taylor,62.77%,757,1206,-0.27
154,5,55454,Carl Yuan,62.56%,518,828,-0.26
155,6,27649,Brandt Snedeker,62.20%,515,828,-0.22
156,6,47993,Denny McCarthy,62.18%,929,1494,-0.32
157,1,45522,Christiaan Bezuidenhout,62.06%,849,1368,-0.31
158,5,33408,Tyson Alexander,61.74%,589,954,-0.31
159,5,48119,Ben Taylor,61.62%,488,792,-0.27
160,5,47591,Eric Cole,61.48%,1007,1638,-0.33
161,5,34466,Peter Malnati,61.45%,719,1170,-0.27
162,5,22371,Aaron Baddeley,61.43%,586,954,-0.30
163,5,35506,Mackenzie Hughes,61.32%,872,1422,-0.33
164,5,50188,S.H. Kim,60.69%,863,1422,-0.35
