RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,22,27974,Sung Kang,74.07,20,27
2,0,35450,Patrick Cantlay,73.08,19,26
2,0,33204,Shane Lowry,73.08,19,26
4,60,34046,Jordan Spieth,67.86,19,28
5,0,27129,Luke List,66.67,20,30
5,0,24502,Adam Scott,66.67,20,30
7,0,23108,Matt Kuchar,64.00,16,25
7,0,35449,Adam Long,64.00,16,25
7,0,28237,Rory McIlroy,64.00,16,25
10,9,36689,Brooks Koepka,63.16,12,19
11,0,29772,Michael Lorenzo-Vera,62.50,20,32
12,0,33399,Adam Hadwin,62.07,18,29
13,0,48887,Matt Wallace,61.29,19,31
14,0,26476,Chez Reavie,61.11,22,36
15,6,33293,Thomas Pieters,60.71,17,28
16,0,35879,Kelly Kraft,60.00,21,35
17,0,33803,Lucas Bjerregaard,59.26,16,27
18,0,25632,Jimmy Walker,59.09,13,22
19,11,45526,Abraham Ancer,58.06,18,31
19,0,49771,J.T. Poston,58.06,18,31
21,25,26499,Rafa Cabrera Bello,57.89,22,38
22,0,25900,Lucas Glover,57.58,19,33
22,0,21961,Charles Howell III,57.58,19,33
24,0,31323,Gary Woodland,57.14,12,21
25,0,30944,Jason Kokrak,56.67,17,30
25,0,37189,Harold Varner III,56.67,17,30
27,0,32102,Rickie Fowler,56.00,14,25
28,0,29926,Danny Lee,55.56,20,36
29,0,24964,Ryan Vermeer,55.26,21,38
30,0,29420,Billy Horschel,55.17,16,29
31,-19,30978,Kiradech Aphibarnrat,54.55,18,33
32,0,25431,Rob Labritz,54.29,19,35
33,0,28089,Jason Day,53.57,15,28
33,0,35296,Haotong Li,53.57,15,28
35,0,29268,Bronson Burgoon,53.33,16,30
35,0,28300,Joost Luiten,53.33,16,30
35,-16,21528,Henrik Stenson,53.33,16,30
38,0,26735,Marty Jertson,52.38,22,42
39,0,30925,Dustin Johnson,52.17,12,23
40,0,52372,Cameron Champ,52.00,13,25
40,0,22405,Justin Rose,52.00,13,25
42,0,47238,Jazz Janewattananond,51.85,14,27
43,28,49964,Aaron Wise,51.72,15,29
44,0,12716,Charley Hoffman,51.61,16,31
45,22,40026,Daniel Berger,50.00,16,32
45,0,39997,Corey Conners,50.00,13,26
45,0,40098,Matt Fitzpatrick,50.00,13,26
45,0,29221,Webb Simpson,50.00,13,26
45,0,27649,Brandt Snedeker,50.00,14,28
50,-28,28938,Justin Harding,48.28,14,29
50,0,24024,Zach Johnson,48.28,14,29
52,0,25364,Paul Casey,48.00,12,25
53,0,33141,Keegan Bradley,47.83,11,23
54,-37,24361,Pat Perez,47.37,18,38
55,-23,32839,Hideki Matsuyama,46.67,14,30
56,-3,35461,Beau Hossler,46.43,13,28
57,-56,25818,Scott Piercy,46.15,12,26
58,0,34363,Tyrrell Hatton,45.83,11,24
59,0,01810,Phil Mickelson,45.71,16,35
60,0,48081,Xander Schauffele,45.45,10,22
60,0,35891,Cameron Smith,45.45,15,33
60,0,32139,Danny Willett,45.45,10,22
63,-34,27349,Alex Noren,45.16,14,31
64,0,30911,Tommy Fleetwood,44.44,12,27
64,0,48117,Kurt Kitayama,44.44,12,27
64,0,25572,Graeme McDowell,44.44,12,27
67,0,36326,David Lipsky,44.12,15,34
68,0,39977,Max Homa,43.33,13,30
68,-29,32333,Kevin Tway,43.33,13,30
70,0,34256,Andrew Putnam,42.86,15,35
71,0,26329,Louis Oosthuizen,42.42,14,33
72,0,33968,Thorbjørn Olesen,42.31,11,26
73,0,23614,Rich Beem,42.11,16,38
74,0,29725,Tony Finau,41.38,12,29
75,-36,39324,J.J. Spaun,40.63,13,32
76,0,31646,Emiliano Grillo,40.00,10,25
77,0,47504,Sam Burns,37.93,11,29
78,0,40006,Erik van Rooyen,37.50,9,24
79,0,34076,Joel Dahmen,33.33,9,27
80,0,27896,Ross Fisher,30.43,7,23
81,0,39058,Lucas Herbert,27.27,9,33
82,0,25198,Francesco Molinari,25.00,6,24
