RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,0,29936,Ryan Fox,315.8,2526,8
2,0,30925,Dustin Johnson,308.6,2469,8
3,0,46035,Callum Shinkwin,308.0,2464,8
4,0,34363,Tyrrell Hatton,306.3,2450,8
5,0,27141,J.B. Holmes,305.0,2440,8
6,0,25804,Bubba Watson,304.5,2436,8
7,0,33803,Lucas Bjerregaard,304.0,2432,8
8,0,33948,Byeong Hun An,303.5,2428,8
9,0,37250,Romain Langasque,301.9,2415,8
10,0,29725,Tony Finau,301.4,2411,8
11,0,46970,Jon Rahm,301.3,2410,8
12,0,33204,Shane Lowry,301.1,2409,8
13,0,40098,Matt Fitzpatrick,299.4,2395,8
14,0,36689,Brooks Koepka,299.3,2394,8
15,0,52215,Robert MacIntyre,299.1,2393,8
16,0,12716,Charley Hoffman,299.0,2392,8
17,0,20396,Lee Westwood,298.8,2390,8
18,0,30944,Jason Kokrak,298.6,2389,8
19,0,22405,Justin Rose,298.4,2387,8
20,0,21209,Sergio Garcia,298.0,2384,8
21,0,35450,Patrick Cantlay,297.9,2383,8
21,0,33293,Thomas Pieters,297.9,2383,8
23,29,25900,Lucas Glover,296.6,2373,8
23,0,26329,Louis Oosthuizen,296.6,2373,8
25,0,28300,Joost Luiten,295.9,2367,8
26,0,27349,Alex Noren,295.0,2360,8
27,0,48081,Xander Schauffele,294.9,2359,8
27,0,34046,Jordan Spieth,294.9,2359,8
29,0,35104,Tom Lewis,294.1,2353,8
30,0,30978,Kiradech Aphibarnrat,293.8,2350,8
30,2,29970,Dylan Frittelli,293.8,2350,8
32,0,35891,Cameron Smith,293.6,2349,8
33,0,40006,Erik van Rooyen,293.5,2348,8
34,0,29370,Mikko Korhonen,292.0,2336,8
35,0,33122,Russell Knox,291.8,2334,8
36,0,33968,Thorbjørn Olesen,291.3,2330,8
37,0,33399,Adam Hadwin,291.0,2328,8
38,0,28938,Justin Harding,290.8,2326,8
39,9,53165,Doc Redman,290.6,2325,8
40,0,55940,Andrew Wilson,290.4,2323,8
41,0,23621,Rory Sabbatini,290.3,2322,8
42,0,32797,Sanghyun Park,290.1,2321,8
42,0,32139,Danny Willett,290.1,2321,8
44,0,34709,Eddie Pepperell,290.0,2320,8
45,-5,20229,Stewart Cink,289.9,2319,8
46,0,27214,Kevin Streelman,289.4,2315,8
47,0,39113,Shubhankar Sharma,289.3,2314,8
48,0,25364,Paul Casey,289.1,2313,8
48,0,30911,Tommy Fleetwood,289.1,2313,8
50,0,34256,Andrew Putnam,288.5,2308,8
51,0,33448,Justin Thomas,288.4,2307,8
52,0,49964,Aaron Wise,286.6,2293,8
53,0,30812,Benjamin Hebert,286.0,2288,8
54,0,06522,Ernie Els,285.8,2286,8
55,0,30110,Kyle Stanley,285.5,2284,8
56,0,29974,Branden Grace,284.6,2277,8
57,0,32102,Rickie Fowler,283.9,2271,8
58,0,31113,Paul Waring,283.8,2270,8
59,0,34360,Patrick Reed,283.6,2269,8
60,0,29136,Innchoon Hwang,283.5,2268,8
61,0,25198,Francesco Molinari,283.3,2266,8
61,0,29221,Webb Simpson,283.3,2266,8
63,0,48887,Matt Wallace,282.5,2260,8
64,0,29454,Bernd Wiesberger,281.3,2250,8
65,0,32252,Nino Bertasio,280.3,2242,8
66,0,36514,Yuki Inamori,279.4,2235,8
67,0,23108,Matt Kuchar,278.9,2231,8
68,0,31395,Yosuke Asaji,276.3,2210,8
69,0,29478,Kevin Kisner,275.8,2206,8
70,0,25572,Graeme McDowell,274.9,2199,8
71,0,50674,Ashton Turner,272.9,2183,8
72,0,10809,Jim Furyk,269.1,2153,8
73,0,21528,Henrik Stenson,263.5,2108,8
