RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,35450,Patrick Cantlay,75.86,22,29
2,0,33448,Justin Thomas,75.00,21,28
3,0,40026,Daniel Berger,72.73,16,22
4,0,39834,Guido Migliozzi,72.00,18,25
5,0,52215,Robert MacIntyre,70.37,19,27
6,0,46970,Jon Rahm,69.57,16,23
7,0,34099,Harris English,67.86,19,28
7,0,26331,Charl Schwartzel,67.86,19,28
9,0,34360,Patrick Reed,67.74,21,31
10,0,54783,Dylan Wu,65.63,21,32
11,0,45486,Joaquin Niemann,65.38,17,26
12,0,30925,Dustin Johnson,64.29,18,28
13,0,29970,Dylan Frittelli,63.64,21,33
14,0,29974,Branden Grace,62.96,17,27
14,0,26329,Louis Oosthuizen,62.96,17,27
14,0,27214,Kevin Streelman,62.96,17,27
17,0,32839,Hideki Matsuyama,62.50,15,24
18,0,20396,Lee Westwood,60.00,18,30
19,0,27644,Brian Harman,59.46,22,37
20,0,26499,Rafa Cabrera Bello,59.26,16,27
20,0,23814,Edoardo Molinari,59.26,16,27
22,0,34098,Russell Henley,58.33,14,24
22,0,26300,Matt Jones,58.33,21,36
22,0,55789,Taylor Montgomery,58.33,21,36
25,0,46046,Scottie Scheffler,58.06,18,31
26,0,39971,Sungjae Im,57.69,15,26
26,0,36689,Brooks Koepka,57.69,15,26
28,0,25198,Francesco Molinari,57.58,19,33
29,0,20229,Stewart Cink,56.25,18,32
29,0,01810,Phil Mickelson,56.25,18,32
31,0,33399,Adam Hadwin,55.88,19,34
32,0,32640,Troy Merritt,55.56,20,36
33,0,49771,J.T. Poston,55.17,16,29
34,0,50525,Collin Morikawa,55.00,11,20
35,0,33404,Chris Baker,54.84,17,31
35,0,29478,Kevin Kisner,54.84,17,31
37,0,25364,Paul Casey,53.85,14,26
37,0,28679,Fabián Gómez,53.85,21,39
37,0,34046,Jordan Spieth,53.85,14,26
40,0,30911,Tommy Fleetwood,53.33,16,30
41,0,36699,Patrick Rodgers,52.17,12,23
42,0,47056,Rikuya Hoshino,52.00,13,25
42,0,48081,Xander Schauffele,52.00,13,25
44,0,26476,Chez Reavie,51.85,14,27
45,0,35532,Tom Hoge,51.72,15,29
46,0,46732,Rick Lamb,50.00,13,26
46,0,26851,Marc Leishman,50.00,16,32
46,0,28237,Rory McIlroy,50.00,12,24
46,0,56278,Matthew Wolff,50.00,12,24
50,0,45836,Richard Bland,48.48,16,33
51,0,40098,Matt Fitzpatrick,48.28,14,29
52,0,27408,Martin Kaymer,48.15,13,27
52,0,26341,Wade Ormsby,48.15,13,27
54,0,45522,Christiaan Bezuidenhout,48.00,12,25
54,0,35506,Mackenzie Hughes,48.00,12,25
56,0,25632,Jimmy Walker,47.50,19,40
57,0,56630,Akshay Bhatia,47.06,16,34
58,0,35310,Lanto Griffin,46.88,15,32
58,0,24138,Ian Poulter,46.88,15,32
58,0,51890,Greyson Sigg,46.88,15,32
61,0,33204,Shane Lowry,45.83,11,24
62,0,27064,Jhonattan Vegas,45.45,10,22
63,0,24502,Adam Scott,45.16,14,31
64,0,12716,Charley Hoffman,44.83,13,29
64,0,37455,Si Woo Kim,44.83,13,29
64,0,31323,Gary Woodland,44.83,13,29
67,0,47959,Bryson DeChambeau,43.48,10,23
68,0,25804,Bubba Watson,41.94,13,31
69,0,56272,Wilco Nienaber,41.38,12,29
70,0,52411,Kyle Westmoreland,39.29,11,28
71,0,21209,Sergio Garcia,39.13,9,23
