RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,39546,Keith Mitchell,86.11%,62,72,-0.39
1,0,52513,Carson Young,86.11%,62,72,-0.44
3,0,52514,Trace Crowe,84.72%,61,72,-0.31
3,0,50095,Austin Smotherman,84.72%,61,72,-0.18
5,-1,34076,Joel Dahmen,83.33%,60,72,-0.23
5,4,27064,Jhonattan Vegas,83.33%,60,72,-0.32
7,0,39436,Joshua Creel,81.94%,59,72,-0.34
7,29,51977,Max Greyserman,81.94%,59,72,-0.32
7,4,51287,Ryo Hisatsune,81.94%,59,72,-0.19
7,-3,46414,Aaron Rai,81.94%,59,72,-0.41
7,4,58168,Davis Thompson,81.94%,59,72,-0.49
12,0,25900,Lucas Glover,80.56%,58,72,-0.36
12,0,28252,Seamus Power,80.56%,58,72,-0.31
14,-3,66743,Luke Clanton,79.17%,57,72,-0.46
14,0,24924,Bill Haas,79.17%,57,72,-0.32
14,0,34587,Chan Kim,79.17%,57,72,-0.39
14,-3,36884,Ben Kohles,79.17%,57,72,-0.26
14,0,29908,C.T. Pan,79.17%,57,72,-0.46
14,-10,55893,Sam Stevens,79.17%,57,72,-0.26
14,0,52666,Sami Valimaki,79.17%,57,72,-0.47
21,0,56149,Wilson Furr,77.78%,56,72,-0.27
21,0,24980,Scott Gutschewski,77.78%,56,72,-0.25
21,31,51696,Rico Hoey,77.78%,56,72,-0.36
21,37,51997,Andrew Novak,77.78%,56,72,-0.50
21,15,39327,Ben Silverman,77.78%,56,72,-0.36
21,0,34046,Jordan Spieth,77.78%,56,72,-0.41
27,0,29535,Brice Garnett,76.39%,55,72,-0.33
27,0,52375,Doug Ghim,76.39%,55,72,-0.35
27,0,32448,James Hahn,76.39%,55,72,-0.24
27,45,24024,Zach Johnson,76.39%,55,72,-0.40
27,0,47993,Denny McCarthy,76.39%,55,72,-0.40
27,0,30163,Henrik Norlander,76.39%,55,72,-0.25
27,0,37275,Sam Ryder,76.39%,55,72,-0.33
27,20,39324,J.J. Spaun,76.39%,55,72,-0.40
27,0,40115,Adam Svensson,76.39%,55,72,-0.29
27,0,57364,Michael Thorbjornsen,76.39%,55,72,-0.44
27,0,30927,Brendon Todd,76.39%,55,72,-0.45
27,0,52411,Kyle Westmoreland,76.39%,55,72,-0.24
39,-30,55708,Hayden Buckley,75.00%,54,72,-0.33
39,0,32366,Kevin Chappell,75.00%,54,72,-0.30
39,0,28089,Jason Day,75.00%,54,72,-0.35
39,0,39971,Sungjae Im,75.00%,54,72,-0.44
39,0,59143,Mac Meissner,75.00%,54,72,-0.44
39,0,36871,Matt NeSmith,75.00%,54,72,-0.20
39,-19,50484,Hayden Springer,75.00%,54,72,-0.46
46,22,34021,Bud Cauley,73.61%,53,72,-0.32
46,6,51349,Nico Echavarria,73.61%,53,72,-0.30
46,12,60767,Blaine Hale Jr.,73.61%,53,72,-0.32
46,-35,35461,Beau Hossler,73.61%,53,72,-0.32
46,0,36326,David Lipsky,73.61%,53,72,-0.28
46,-10,36699,Patrick Rodgers,73.61%,53,72,-0.32
46,0,49960,Sepp Straka,73.61%,53,72,-0.28
46,0,48119,Ben Taylor,73.61%,53,72,-0.32
46,-10,45242,Kevin Yu,73.61%,53,72,-0.42
55,-3,47591,Eric Cole,72.22%,52,72,-0.46
55,-29,54591,Ben Griffin,72.22%,52,72,-0.48
55,-19,47420,Jake Knapp,72.22%,52,72,-0.37
55,0,23320,Ryan Palmer,72.22%,52,72,-0.29
55,0,49771,J.T. Poston,72.22%,52,72,-0.42
55,0,50493,Justin Suh,72.22%,52,72,-0.27
61,0,20229,Stewart Cink,70.83%,51,72,-0.29
61,0,47663,Kevin Dougherty,70.83%,51,72,-0.35
61,-31,57975,Harry Hall,70.83%,51,72,-0.41
61,-31,36801,Mark Hubbard,70.83%,51,72,-0.39
65,0,50497,Adrien Dumont de Chassart,69.44%,50,72,-0.30
65,0,34563,Chesson Hadley,69.44%,50,72,-0.36
65,0,54628,Lee Hodges,69.44%,50,72,-0.20
65,3,46441,Robby Shelton,69.44%,50,72,-0.36
65,-29,33486,Roger Sloan,69.44%,50,72,-0.28
65,-29,27214,Kevin Streelman,69.44%,50,72,-0.42
71,0,33968,Thorbjørn Olesen,68.06%,49,72,-0.31
72,0,40058,Zac Blair,66.67%,48,72,-0.31
72,0,29970,Dylan Frittelli,66.67%,48,72,-0.38
72,-25,40162,Justin Lower,66.67%,48,72,-0.27
75,-23,59836,Pierceson Coody,65.28%,47,72,-0.40
75,0,50188,S.H. Kim,65.28%,47,72,-0.45
77,-9,57900,Chandler Phillips,62.50%,45,72,-0.42
